"State Minister of Internal Security, Home Affairs and Disaster Management",Rakna Arakshana Lanka Ltd.
"State Minister of Internal Security, Home Affairs and Disaster Management",National Authority for the Implementation of Chemical Weapons Convention
"State Minister of Internal Security, Home Affairs and Disaster Management",National Dangerous Drugs Control Board
"State Minister of Internal Security, Home Affairs and Disaster Management",Defence Services School
"State Minister of Internal Security, Home Affairs and Disaster Management",National Defence Fund
"State Minister of Internal Security, Home Affairs and Disaster Management",Defence Research and Development Centre
"State Minister of Internal Security, Home Affairs and Disaster Management",Sri Lanka Institute of National Defence Studies
"State Minister of Internal Security, Home Affairs and Disaster Management",Ranaviru Seva Authority
"State Minister of Internal Security, Home Affairs and Disaster Management",Api Wenuwen Api Fund
Minister of Technology,TelecommunicationRegulatoryCommission of Sri Lanka and Allied Institutions
Minister of Technology,Information and Communication Technology Agency and Allied institutions
Minister of Technology,Sri Lanka Computer Emergency Readiness Team
Minister of Technology,Sri Lanka Telecom and its Subsidiaries and Allied institutions
Minister of Technology,Industrial Technology Institute
Minister of Technology,Sri Lanka Institute of Nano Technology (Pvt.) Ltd.
Minister of Technology,National science and technology Commission 
Minister of Technology,All Information Technology Parks
Minister of Technology,Sri Lanka Standard Institute
Minister of Technology,Department of Registration of Persons
"State Minister of National Heritage, Performing Arts and Rural Arts Promotion",Department of Archaeology
"State Minister of National Heritage, Performing Arts and Rural Arts Promotion",Ape Gama –Excluding Office Premises
Minister of Public Security,Sri Lanka Police
Minister of Public Security,National Police Academy
Minister of Public Security,Civil Security Department
Minister of Public Security,Department of Multipurpose Development Task Force
