State Minister of Digital Technology and Enterprise Development,Industrial Technology Institute
State Minister of Digital Technology and Enterprise Development,Sri Lanka Institute of Nano Technology (Pvt.) Ltd.
State Minister of Digital Technology and Enterprise Development,National Science and Technology Commission
State Minister of Digital Technology and Enterprise Development,Sri Lanka Standard Institute
State Minister of Digital Technology and Enterprise Development,Sri Lanka Institute of Biotechnology (Pvt.) Ltd.
State Minister of Digital Technology and Enterprise Development,All Information Technology Parks
