State Minister of National Security and Disaster Management,Defence Services College
State Minister of National Security and Disaster Management,Institute of National Security Studies
State Minister of National Security and Disaster Management,National Defence College
Foreign Minister,Secretariat for Non-Governmental Organizations
"State Minister of Skills Development, Vocational Education, Research and Innovation","Coordinating Secretariat for Science, Technology &
Innovation"
Minister of Mass Media,Sri Lanka Institute of Printing
