"State Minister of Production and Supply of Fertilizer and Regulation of Chemical Fertilizer and Insecticide Use->State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",National Fertilizer Secretariat
"State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",Ceylon Fertilizer Company Ltd.
"State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",Colombo Commercial Fertilizer Company
"State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer","National Hunger Eradication Campaign Board
of Sri Lanka (National Food Promotion Board)"
"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion",Hingurana Sugar Factory Pvt. Ltd
 State Minister of Community Police Services,
