Terminate,All
Institutions Operating with Guidance and Coordination at National Level for National Priorities,Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions
Institutions Operating with Guidance and Coordination at National Level for National Priorities,Information and Communication Technology Agency and Allied Institutions
Institutions Operating with Guidance and Coordination at National Level for National Priorities,Sri Lanka Computer Emergency Readiness Team
Institutions Operating with Guidance and Coordination at National Level for National Priorities,Board of Investment of Sri Lanka
Institutions Operating with Guidance and Coordination at National Level for National Priorities,Colombo Port City Project
Institutions Operating with Guidance and Coordination at National Level for National Priorities,Sri  Lanka Telecom and its Subsidiaries and Allied Institutions
Institutions Operating with Guidance and Coordination at National Level for National Priorities,All Information Technology Parks
Minister of Defence,Office of the Chief of Defence Staff
Minister of Defence,Sri Lanka Army
Minister of Defence,Sri Lanka Navy
Minister of Defence,Sri Lanka Air Force 
Minister of Defence,Rakna Arakshana Lanka Ltd.
Minister of Defence,National Authority for the implementation of Chemical Weapons Convention
Minister of Defence,Department of Civil Security
Minister of Defence,State Intelligence Service
Minister of Defence,Coast Guard Department of Sri Lanka
Minister of Defence,NationalDangerousDrugsControlBoard
Minister of Defence,Sir John Kotelawala Defence University
Minister of Defence,Defence Services Command and Staff College
Minister of Defence,Defence Services School
Minister of Defence,National Cadet Corps
Minister of Defence,National Defence Fund
Minister of Defence,Defence Research and Development Centre
Minister of Defence,Sri Lanka Institute of National Defence Studies
Minister of Defence,Ranaviru Seva Authority
Minister of Defence,Api Wenuwen Api Fund
Minister of Defence,Department of Multi-purpose Development Task Force
Minister of Defence,Department of Archaeology
Minister of Defence,Academy of Financial Studies
"State Minister of Internal Security, Home Affairs and Disaster Management",All District Secretariats and Divisional Secretariats
"State Minister of Internal Security, Home Affairs and Disaster Management",Sri Lanka Police
"State Minister of Internal Security, Home Affairs and Disaster Management",National Police Academy
"State Minister of Internal Security, Home Affairs and Disaster Management",Department of Registrar General
"State Minister of Internal Security, Home Affairs and Disaster Management",Department of Registration of Persons
"State Minister of Internal Security, Home Affairs and Disaster Management",Department of Immigration and Emigration
"State Minister of Internal Security, Home Affairs and Disaster Management","Secretariat for Non-Governmental Organizations
"
"State Minister of Internal Security, Home Affairs and Disaster Management",National Disaster Management Council
"State Minister of Internal Security, Home Affairs and Disaster Management",Disaster Management Centre
"State Minister of Internal Security, Home Affairs and Disaster Management",National Disaster Relief Services Centre
"State Minister of Internal Security, Home Affairs and Disaster Management",Department of Meteorology
"State Minister of Internal Security, Home Affairs and Disaster Management",National Building Research Organization
Minister of Technology,
Minister of Finance,Treasury Affairs
Minister of Finance,General Treasury
Minister of Finance,National Planning Department
Minister of Finance,Department of Fiscal Policy
Minister of Finance,Department of National Budget
Minister of Finance,Department of Management Services 
Minister of Finance,Department of External Resources
Minister of Finance,Department of Public Finance
Minister of Finance,Department of Treasury Operations
Minister of Finance,Department of Public Accounts
Minister of Finance,Department of Trade and Investment Policies
Minister of Finance,Department of Information Technology Management 
Minister of Finance,Department of Legal Affairs
Minister of Finance,Department of Management Auditing 
Minister of Finance,Department of Development Finance
Minister of Finance,Office of Comptroller General
Government Revenue Management Affairs,Department of Inland Revenue
Government Revenue Management Affairs,Sri Lanka Customs
Government Revenue Management Affairs,Department of Excise
Government Revenue Management Affairs,National Lotteries Board
Government Revenue Management Affairs,Development Lotteries Board 
Government Revenue Management Affairs,Department of Valuation
Government Revenue Management Affairs,Importand Export Control Department
