Terminate,All
Minister of Youth and Sports,National Centre for Leadership Development
Minister of Youth and Sports,Department of Manpower and Employment 
Minister of Youth and Sports,Institute of Smart SriLanka
State Minister of Rural and School Sports Infrastructure Improvement,National Institute of Sports Science
State Minister of Rural and School Sports Infrastructure Improvement,National Sports Council
State Minister of Rural and School Sports Infrastructure Improvement,Sugathadasa National Sports Complex Authority
State Minister of Rural and School Sports Infrastructure Improvement,Institute of Sports Medicine
State Minister of Rural and School Sports Infrastructure Improvement,SriLanka Anti-doping Agency
Minister of Tourism,Sri Lanka Tourism Promotion Bureau
Minister of Tourism,Sri Lanka Tourism Development Authority
Minister of Tourism,Sri Lanka Institute of Tourism and Hotel Management
Minister of Tourism,Sri Lanka Convention Bureau
Minister of Tourism,Department Of National Zoological Gardens
Minister of Tourism,Department Of National Botanic Gardens
State Minister of Aviation and Export Zones Development,Civil Aviation Authority of Sri Lanka
State Minister of Aviation and Export Zones Development,Airport and Aviation Services (Sri Lanka) Ltd.
State Minister of Aviation and Export Zones Development,Sri Lankan AirLines Limited and its subsidiaries
Minister of Trade,Sri Lanka Export Development Board
Minister of Trade,Lanka Sathosa Ltd.
Minister of Trade,Lanka General Trading Company Ltd.
Minister of Trade,Co-operative Wholesale Establishment
Minister of Trade,"Department of Measurement Units, Standards and Services"
Minister of Trade,Food Commissioner’s Department
Minister of Trade,Sri Lanka Accreditation Board for Conformity Assessment
Minister of Trade,Sri Lanka Standard Institute
Minister of Trade,National Intellectual Property Office of Sri Lanka
Minister of Trade,Mahapola Higher Education Scholarship Trust Fund
"State Minister of Cooperative Services, Marketing Development and Consumer Protection",Consumer Affairs Authority
"State Minister of Cooperative Services, Marketing Development and Consumer Protection",National Institute of Co-operative Development
"State Minister of Cooperative Services, Marketing Development and Consumer Protection",Department of Co-operative Development (Registrar of Co-operative Societies)
"State Minister of Cooperative Services, Marketing Development and Consumer Protection",Co-operative Employees Commission
Minister of Industries,Ceylon Industrial Development Board
Minister of Industries,Lanka Leyland Ltd.
Minister of Industries,Lanka Ashok Leyland Ltd.
Minister of Industries,NationalPaper Corporation Ltd.
Minister of Industries,Kahagolle Engineering Services Company Ltd. (KESCO)
Minister of Industries,Manthai Salt Ltd.
Minister of Industries,Elephant Pass Saltern
Minister of Industries,Centre of Excellence for Robotic Applications
Minister of Industries,Lanka Cement Company
Minister of Industries,Sri Lanka Cement Corporation
Minister of Industries,LankaMineral Sands Company
Minister of Industries,Paranthan Chemicals Ltd.
Minister of Industries,Lanka Phosphate Company Ltd.
Minister of Industries,Kahatagaha Graphite
Minister of Industries,Ceylon Ceramics Corporation (Brick and Tiles Division)
Minister of Industries,BCC (Pvt.) Limited
"State Minister of Batik, Handloom and Local Apparel Products",Sri Lanka Institute of Textile and Apparels
"State Minister of Batik, Handloom and Local Apparel Products",Department of Textile Industries
"State Minister of Batik, Handloom and Local Apparel Products",Lanka Textile Mills Emporium Ltd.
"State Minister of Batik, Handloom and Local Apparel Products",Lanka Salusala Ltd.
"State Minister of Batik, Handloom and Local Apparel Products",Sri Lanka Handicraft Board (Laksala) 
"State Minister of Batik, Handloom and Local Apparel Products",National Design Centre
State Minister of Gem and Jewellery Related Industries,National Gem and Jewellery Authority  
State Minister of Gem and Jewellery Related Industries,Gem and Jewellery Research Institute
"State Minister of Rattan, Brass, Pottery, Furniture and Rural Industrial Promotion",Timber-related Design Centre
"State Minister of Rattan, Brass, Pottery, Furniture and Rural Industrial Promotion",Vidatha Centres
"State Minister of Rattan, Brass, Pottery, Furniture and Rural Industrial Promotion",National Crafts Council
Minister of Mass Media,Right to Information Commission
Minister of Mass Media,Department of Government Printing
Minister of Mass Media,Department of Government Information
Minister of Mass Media,Sri Lanka Press Council
Minister of Mass Media,Sri Lanka Broadcasting Corporation
Minister of Mass Media,Independent Television Network
Minister of Mass Media,Sri Lanka Rupavahini Corporation
Minister of Mass Media,Associated Newspapers of Ceylon Ltd.
Minister of Mass Media,Lanka Puwath Ltd.
Minister of Mass Media,Selacine Rupavahini Institute
Minister of Mass Media,Sri Lanka Foundation Institute
State Minister of Postal Services and Professional Development of Journalists,Postal Department
 Minister of Public Security,
Minister of Development Co-ordination and Monitoring,
