Ministry of Defense->Ministry of Defence and Urban Development,Sri Lanka Army/ Air Force
Ministry of Defence and Urban Development,Sri Lanka Navy/ Air Force
Ministry of Defence and Urban Development,Sri Lanka Air Force
Ministry of Defence and Urban Development,Department of Immigration and Emigration
Ministry of Defence and Urban Development,Department of Registration of Persons
Ministry of Defence and Urban Development,Department of Civil Security
Ministry of Defence and Urban Development,Sir John Kotalawala Defence University
Ministry of Defence and Urban Development,Defence Services Command and Staff College
Ministry of Defence and Urban Development,Ranaviru Seva Authority
Ministry of Defence and Urban Development,Defence Services School
Ministry of Defence and Urban Development,Lanka Logistics Limited
Ministry of Defence and Urban Development,National Dangerous Drugs Control Board
Ministry of Defence and Urban Development,Secretariat for Non-Governmental Organizations
Ministry of Defence and Urban Development,Rakna Arakshana Lanka Ltd.
Ministry of Defence and Urban Development,National Cadet Corps
Ministry of Defence and Urban Development,National Defence Fund
Ministry of Defence and Urban Development,State Intelligence Service
Ministry of Defence and Urban Development,Urban Development Authority
Ministry of Defence and Urban Development,Sri Lanka Land Reclamation and Development Corporation
Ministry of Defence and Urban Development,Coat Guard Department of Sri Lanka
Ministry of Defence and Urban Development,Department of Coast Conservation
Ministry of Law and Order,Department of Police
