Terminate,All
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Human Resources Development Council
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Operations Room
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Office for Reparations
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Commissioner General of Rehabilitation
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Palmyrah Development Board
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",North Sea Ltd.
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Youth Services Council
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Youth Corps
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Youth Awards Authority
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Youth Services Co-operative Limited
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Centre for Leadership Development
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Tertiary and Vocational Education Commission
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Vocational Training Authority of Sri Lanka
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Apprecnticeship and Industrial Training Authority
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Skills Development Fund Ltd.
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Ceylon German Technical Training Institute
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Institute of Business Management and affiliated institutions
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",University of Vocational Technology
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Sri Lanka Institute of Printing
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Institute of Fisheries and Nautical Engineering (Ocean University)
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Institute of Technical Education
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Department of Technical Education and Training
"Ministry of Tourism Development, Wildlife and Christian Religious Affairs",Sri Lanka Tourism Promotions Bureau
"Ministry of Tourism Development, Wildlife and Christian Religious Affairs",Sri Lanka Tourism Development Authority
"Ministry of Tourism Development, Wildlife and Christian Religious Affairs",Sri Lanka Exhibition and Convention Bureau
"Ministry of Tourism Development, Wildlife and Christian Religious Affairs",Sri Lanka Institute of Tourism and Hotel Management
"Ministry of Tourism Development, Wildlife and Christian Religious Affairs",Department of National Zoological Gardens
"Ministry of Tourism Development, Wildlife and Christian Religious Affairs",Department of National Botanical Gardens
"Ministry of Tourism Development, Wildlife and Christian Religious Affairs",Department of Wildlife Conservation
"Ministry of Tourism Development, Wildlife and Christian Religious Affairs",Wildlife Trust
"Ministry of Tourism Development, Wildlife and Christian Religious Affairs",Department of Christian Religious Affairs
Ministry of Buddhasasana & Wayamba Development,Department of Buddhist Affairs
Ministry of Buddhasasana & Wayamba Development,Buddha Sasana Fund
Ministry of Buddhasasana & Wayamba Development,International Buddhist Centre
Ministry of Finance & Mass Media,General Treasury
Ministry of Finance & Mass Media,Department of Fiscal Policy
Ministry of Finance & Mass Media,Department of External Resources
Ministry of Finance & Mass Media,Department of National Budget
Ministry of Finance & Mass Media,Department of Public Enterprises
Ministry of Finance & Mass Media,Department of Public Finance
Ministry of Finance & Mass Media,Department of Treasury Operations
Ministry of Finance & Mass Media,Department of Public Accounts
Ministry of Finance & Mass Media,"Department of Trade, Tariff and Investment Policy"
Ministry of Finance & Mass Media,Department of Development Finance
Ministry of Finance & Mass Media,Department of Information Technology Management
Ministry of Finance & Mass Media,Department of Legal Affairs
Ministry of Finance & Mass Media,Department of Management Services
Ministry of Finance & Mass Media,Department of Management Audit
Ministry of Finance & Mass Media,Department of Project Management and Monitoring
Ministry of Finance & Mass Media,Department of Inland Revenue
Ministry of Finance & Mass Media,Department of Valuation
Ministry of Finance & Mass Media,Sri Lanka Customs
Ministry of Finance & Mass Media,Department of Excise
Ministry of Finance & Mass Media,Insurance Board of Sri Lanka
Ministry of Finance & Mass Media,Sri Lanka Accounting and Auditing Standards Monitoring Board
Ministry of Finance & Mass Media,Public Service Mutual Provident Association
Ministry of Finance & Mass Media,Lady Lachore Fund
Ministry of Finance & Mass Media,Tax Appeals Commission
Ministry of Finance & Mass Media,Sri Lanka Export Credit Insurance Corporation
Ministry of Finance & Mass Media,Central Bank of Sri Lanka
Ministry of Finance & Mass Media,All State Banks and their Subsidiaries and associated companies. (except Housing Finance Development Bank)
Ministry of Finance & Mass Media,Securities and Exchange Commission
Ministry of Finance & Mass Media,Credit Information Bureau
Ministry of Finance & Mass Media,Hotel Developers (Lanka) PLC (PQ143)
Ministry of Finance & Mass Media,National Lotteries Board
Ministry of Finance & Mass Media,Development Lotteries Board
Ministry of Finance & Mass Media,"Sri Lanka Insurance Corporation and its Subsidiaries and associated companies, including Litro Gas Lanka Limited & Gas Terminal Lanka (Private) Limited"
Ministry of Finance & Mass Media,National Insurance Trust Fund
Ministry of Finance & Mass Media,"Strike, Riot, Civil Commotion and Terrorism Fund"
Ministry of Finance & Mass Media,Academy of Financial Studies (Miloda)
Ministry of Finance & Mass Media,Public Management Corporation
Ministry of Finance & Mass Media,Department of Information
Ministry of Finance & Mass Media,Sri Lanka Press Council
Ministry of Finance & Mass Media,Sri Lanka Broadcasting Corporation
Ministry of Finance & Mass Media,Sri Lanka Rupavahini Corporation
Ministry of Finance & Mass Media,Independent Television Network
Ministry of Finance & Mass Media,Associated Newspapers of Ceylon Ltd.
Ministry of Finance & Mass Media,Lanka Puwath Ltd.
Ministry of Finance & Mass Media,Salacine Rupavahini Institute
Ministry of Finance & Mass Media,Right to Information Commission
Ministry of Finance & Mass Media,Mahinda Rajapaksa National Telecinema Park (Ranmihithenna)
Ministry of Finance & Mass Media,Public Utilities Commission of Sri Lanka
"Ministry of Public Enterprise, Kandyan Heritage and Kandy Development",Ceylon Ceramics Corporations (Brick and Tiles Division)
"Ministry of Public Enterprise, Kandyan Heritage and Kandy Development",Kahagolle Engineering Services Company (KESCO)
"Ministry of Public Enterprise, Kandyan Heritage and Kandy Development",BCC (Pvt.) Limited
"Ministry of Public Enterprise, Kandyan Heritage and Kandy Development",Public Resources Management Corporation
"Ministry of City Planning, Water Supply and Higher Education",National Water Supply and Drainage Board (NWS&DB)
"Ministry of City Planning, Water Supply and Higher Education",Department of National Community Water Supply
"Ministry of City Planning, Water Supply and Higher Education",University Grants Commission
"Ministry of City Planning, Water Supply and Higher Education",All State Universities under the purview of University Grants Commission
"Ministry of City Planning, Water Supply and Higher Education",All Postgraduate Institutions and other Institutions under the purview of the University Grants Commission
"Ministry of City Planning, Water Supply and Higher Education",Sri Lanka Institute of Advanced Technological Education
"Ministry of City Planning, Water Supply and Higher Education",Mahapola Higher Education Scholarship Trust Fund
Ministry of Foreign Affairs,Diplomatic Missions abroad
Ministry of Foreign Affairs,Lakshman Kadirgamar Institute for International Relations and Strategic Studies
Ministry of Foreign Affairs,National Oceanic Affairs Committee Secretariat
"Ministry of Health, Nutrition & Indigeous Medicine",Department of Health Services
"Ministry of Health, Nutrition & Indigeous Medicine",Sri Jaywardenepura General Hospital
"Ministry of Health, Nutrition & Indigeous Medicine",Vijaya Kumaratunga Memorial Hospital
"Ministry of Health, Nutrition & Indigeous Medicine",State Pharmaceutical Corporation
"Ministry of Health, Nutrition & Indigeous Medicine",State Pharmaceutical Manufacturing Corporation
"Ministry of Health, Nutrition & Indigeous Medicine",National Drugs Regulatory Authority
"Ministry of Health, Nutrition & Indigeous Medicine","All National, Teaching and Specified Government Hospitals"
"Ministry of Health, Nutrition & Indigeous Medicine",National Health Council
"Ministry of Health, Nutrition & Indigeous Medicine",Medical Research Institute
"Ministry of Health, Nutrition & Indigeous Medicine",National Institute of Health Science
"Ministry of Health, Nutrition & Indigeous Medicine",Ashraff Memorial Hospital
"Ministry of Health, Nutrition & Indigeous Medicine",School of Medical Laboratory Technology
"Ministry of Health, Nutrition & Indigeous Medicine",Sri Lanka Medical Council
"Ministry of Health, Nutrition & Indigeous Medicine",Sri Lanka Medical College Council
"Ministry of Health, Nutrition & Indigeous Medicine",National Health Development Fund
"Ministry of Health, Nutrition & Indigeous Medicine",Private Medical Institute Council
"Ministry of Health, Nutrition & Indigeous Medicine","National Institute of Nephrology, Dialysis and Transplantation"
"Ministry of Health, Nutrition & Indigeous Medicine",Sri Lanka Thriposha Ltd.
"Ministry of Health, Nutrition & Indigeous Medicine",National Authority on Tobacco and Alcohol
"Ministry of Health, Nutrition & Indigeous Medicine",Department of Ayurveda
"Ministry of Health, Nutrition & Indigeous Medicine",Sri Lanka Ayurvedic Drugs Corporation
"Ministry of Health, Nutrition & Indigeous Medicine",Ayurvedic Medical Council
"Ministry of Health, Nutrition & Indigeous Medicine",Ayurvedic College and Hospital Board
"Ministry of Health, Nutrition & Indigeous Medicine",Ayurveda Teaching Hospitals
"Ministry of Health, Nutrition & Indigeous Medicine","Homeopathy Hospital, Welisara"
"Ministry of Health, Nutrition & Indigeous Medicine",Homeopathy Medical Council
"Ministry of Power, Energy and Business Development",Ceylon Electricity Board and its subsidiary companies
"Ministry of Power, Energy and Business Development",Lanka Electricity Company
"Ministry of Power, Energy and Business Development",Lanka Coal Company (Pvt.) Ltd.
"Ministry of Power, Energy and Business Development",LTL Holdings (Pvt.) Ltd.
"Ministry of Power, Energy and Business Development",Sri Lanka Sustainable Energy Authority
"Ministry of Power, Energy and Business Development",Sri Lanka Atomic Energy Board
"Ministry of Power, Energy and Business Development",Sri Lanka Atomic Energy Regulatory Council
Ministry of Internal and Home Affairs and Provincial Councils and Local Government,Department of Immigration and Emigration
Ministry of Internal and Home Affairs and Provincial Councils and Local Government,Department of Registration of Persons
Ministry of Internal and Home Affairs and Provincial Councils and Local Government,All District Secretariats
Ministry of Internal and Home Affairs and Provincial Councils and Local Government,All Divisional Secretariats
Ministry of Internal and Home Affairs and Provincial Councils and Local Government,Department of Registrar General
Ministry of Internal and Home Affairs and Provincial Councils and Local Government,Sri Lanka Institute of Local Government
Ministry of Internal and Home Affairs and Provincial Councils and Local Government,Local Loans and Development Fund
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Registrar of Companies
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Industrial Development Board
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Consumer Affairs Authority
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Lanka Sathosa Ltd.
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Lanka General Trading Company Ltd.
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Co-operative Wholesale Establishment
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development","Department of Measurement Units, Standards and Services"
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Department of Co-operative Development (Registrar of Co-operative Societies)
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Co-operative Employees Commission
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Internal Trade Department
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",National Institute of Co-operative Development
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Sri Lanka Institute of Textile and Apparels
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Department of Textile Industries
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Kahatagaha Graphite
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Lanka Leyland Ltd.
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Lanka Ashok Leyland Ltd.
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Lanka Cement Ltd.
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Sri Lanka Cement Corporation
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Manthai Salt Ltd.
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Elephant Pass Saltern
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Lanka Textile Mills Emporium Ltd.
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Lanka Salusala Ltd.
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",National Enterprise Development Authority
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",National Crafts Council
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Sri Lanka Handicraft Board (Laksala)
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",National Design Centre
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",SME Venture Capital Company
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",SME Authority
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",National Paper Corporation Ltd.
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Lanka Mineral Sands Company
"Ministry of Industry and Commerce, Resettlement of Protracted Displaced Persons and Co-operative Development",Paranthan Chemicals Ltd.
Ministry of Megapolis and Western Development,Urban Development Authority
Ministry of Megapolis and Western Development,Sri Lanka Land Reclamation and Development Corporation
Ministry of Megapolis and Western Development,National Physical Planning Department
Ministry of Plantation Industries,Department of Rubber Development
Ministry of Plantation Industries,National Institute of Plantation Management
Ministry of Plantation Industries,Sri Lanka Tea Board
Ministry of Plantation Industries,Tea Small Holdings Development Authority
Ministry of Plantation Industries,Tea and Rubber Estates (Control and Fragmentation) Board
Ministry of Plantation Industries,Tea Shakthi Fund
Ministry of Plantation Industries,Thurusaviya Fund
Ministry of Plantation Industries,Tea Research Institute
Ministry of Plantation Industries,Rubber Research Institute
Ministry of Plantation Industries,Sugarcane Research Institute
Ministry of Plantation Industries,Coconut Development Authority
Ministry of Plantation Industries,Coconut Cultivation Board
Ministry of Plantation Industries,Coconut Research Institute
Ministry of Plantation Industries,Kalubovitiyana Tea Factory Ltd.
Ministry of Plantation Industries,Sri Lanka Rubber Manufacturing and Export Corporation
Ministry of Plantation Industries,Janatha Estate Development Board
Ministry of Plantation Industries,Sri Lanka State Plantation Corporation
Ministry of Plantation Industries,Elkaduwa Plantation Company Ltd.
Ministry of Plantation Industries,Galoya Plantation (Pvt.) Company
Ministry of Plantation Industries,Sri Lanka Cashew Corporation
Ministry of Plantation Industries,Hingurana Sugar Industry Ltd.
Ministry of Plantation Industries,Ceylon Sugar (Pvt.) Ltd.
Ministry of Plantation Industries,Kantale Sugar Company Ltd.
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Department of Agriculture
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Department of Agrarian Development
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",National Fertilizer Secretariat
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Agriculture and Agrarian Insurance Board
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Department of Food Commissioner
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",National Food Promotion Board
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Hector Kobbekaduwa Agrarian Research and Training Institute
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Sri Lanka Council for Agricultural Research Policy
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Institute of Post Harvest Technology
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Ceylon Fertilizer Company Ltd.
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Colombo Commercial Fertilizer Company
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Janatha Fertilizer Enterprises Ltd
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Lanka Phosphate Company Ltd.
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Paddy Marketing Board
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",National Agricultural Diversification and Settlement Authority (Hadabima Authority)
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Department of Export Agriculture
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Spices and Allied Products Marketing Board
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Department of Fisheries and Aquatic Resources
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",National Aquaculture Development Authority
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Ceylon Fishery Harbours Corporation
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Cey-Nor Foundation (Pvt.) Ltd.
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Ceylon Fisheries Corporation
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",National Aquatic Resources Research and Development Agency
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Rural Resuscitation Fund
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Rural Economic Resuscitation Fund (Finance)
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Janadiriya Fund (Gramodaya Mandala Fund)
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Department of Animal Production and Health
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",National Livestock Development Board and associated companies
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Milco (Pvt) Ltd.
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Mahaweli Livestock Enterprises (Pvt.) Ltd.
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Regional Economic Centres
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Department of Irrigation
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Water Resources Board
Ministry of Highways & Road Development and Petroleum Resources Development,Road Development Authority and its Subsidiaries and Associates
Ministry of Highways & Road Development and Petroleum Resources Development,Road Maintenance Trust Fund
Ministry of Highways & Road Development and Petroleum Resources Development,Ceylon Petroleum Corporation
Ministry of Highways & Road Development and Petroleum Resources Development,Ceylon Petroleum Storage Terminal Ltd.
Ministry of Highways & Road Development and Petroleum Resources Development,Petroluem Resources Development Secretariat
Ministry of Highways & Road Development and Petroleum Resources Development,Polipto Lanka (Pvt.) Ltd
Ministry of Public Administration & Disaster Management,Sri Lanka Institute of Development Administration
Ministry of Public Administration & Disaster Management,Distance Learning Centre Ltd.
Ministry of Public Administration & Disaster Management,Department of Pensions
Ministry of Public Administration & Disaster Management,Public Service Pensioners' Trust Fund
Ministry of Public Administration & Disaster Management,Productivity Secretariat
Ministry of Public Administration & Disaster Management,National Disaster Management Council
Ministry of Public Administration & Disaster Management,Disaster Management Centre
Ministry of Public Administration & Disaster Management,National Disaster Relief Services Centre
Ministry of Public Administration & Disaster Management,Department of Metereology
Ministry of Public Administration & Disaster Management,National Building Research Organization
Ministry of Public Administration & Disaster Management,Project for minimizing the adverse climate impact
Ministry of Lands & Parliamentary Reforms,Department of Land Commissioner General
Ministry of Lands & Parliamentary Reforms,Land Reform Commission
Ministry of Lands & Parliamentary Reforms,Department of Land Settlement
Ministry of Lands & Parliamentary Reforms,Department of Surveyor General
Ministry of Lands & Parliamentary Reforms,Institute of Surveying and Mapping
Ministry of Lands & Parliamentary Reforms,Land Survey Council
Ministry of Lands & Parliamentary Reforms,Department of Land Use Policy Planning
"Ministry of Housing, Construction and Cultural Affairs",The Urban Settlement Development Authority
"Ministry of Housing, Construction and Cultural Affairs",National Housing Development Authority
"Ministry of Housing, Construction and Cultural Affairs",Condominium Management Authority (Common Amenities Board)
"Ministry of Housing, Construction and Cultural Affairs",Centre for Housing Planning and Building
"Ministry of Housing, Construction and Cultural Affairs",Building Materials Corporations
"Ministry of Housing, Construction and Cultural Affairs",Department of Buildings
"Ministry of Housing, Construction and Cultural Affairs",Government Factory
"Ministry of Housing, Construction and Cultural Affairs",Construction Industry Development Authority
"Ministry of Housing, Construction and Cultural Affairs",State Engineering Corporation
"Ministry of Housing, Construction and Cultural Affairs",State Development Construction Corporation
"Ministry of Housing, Construction and Cultural Affairs",Devco Showa (Pvt) Ltd.
"Ministry of Housing, Construction and Cultural Affairs",National Equipment and Machinary Organization
"Ministry of Housing, Construction and Cultural Affairs",Housing Development Finance Corporation
"Ministry of Housing, Construction and Cultural Affairs",Ocean View Development (Pvt) Ltd.
"Ministry of Housing, Construction and Cultural Affairs",Department of Cultural Affairs
"Ministry of Housing, Construction and Cultural Affairs",Department of National Meseum
"Ministry of Housing, Construction and Cultural Affairs",Department of Archaeology
"Ministry of Housing, Construction and Cultural Affairs",Tower Hall Theatre Foundation
"Ministry of Housing, Construction and Cultural Affairs",Public Performance Board
"Ministry of Housing, Construction and Cultural Affairs",National Arts Council
"Ministry of Housing, Construction and Cultural Affairs",Gramodaya Folk Arts Centre
"Ministry of Housing, Construction and Cultural Affairs",Ape Gama
"Ministry of Housing, Construction and Cultural Affairs",Department of National Archives
"Ministry of Housing, Construction and Cultural Affairs",Central Cultural Fund
"Ministry of Housing, Construction and Cultural Affairs",National Film Corporation
"Ministry of Housing, Construction and Cultural Affairs",Galle Heritage Foundation
Ministry of Transport and Civil Aviation,Department of Sri Lanka Railways
Ministry of Transport and Civil Aviation,Sri Lanka Central Transport Board
Ministry of Transport and Civil Aviation,National Transport Medical Institute
Ministry of Transport and Civil Aviation,Department of Motor Traffic
Ministry of Transport and Civil Aviation,National Transport Commission
Ministry of Transport and Civil Aviation,National Council on Road Safety
Ministry of Transport and Civil Aviation,Lakdiva Engineering Ltd.
Ministry of Transport and Civil Aviation,Werahera Engineering Services Ltd. (WESCO)
Ministry of Transport and Civil Aviation,Civil Aviation Authority
Ministry of Transport and Civil Aviation,Airport and Aviation Services (Sri Lanka) Ltd.
"Ministry of Hill Country New Villages, Infrastructure & Community Development",Rural Community Development (Youth Empowerment) Project
