Terminate,All
Ministry of Defence,Office of the Chief of Defence Staff
Ministry of Defence,Sri Lanka Army
Ministry of Defence,Sri Lanka Navy
Ministry of Defence,Sri Lanka Air Force
Ministry of Defence,Department of Civil Security
Ministry of Defence,Sir John Kotalawala Defence University
Ministry of Defence,Defence Services Command and Staff College
Ministry of Defence,Ranaviru Seva Authority
Ministry of Defence,Defence Services School
Ministry of Defence,National Cadet Corps
Ministry of Defence,National Defence Fund
Ministry of Defence,State Intelligence Service
Ministry of Defence,Defence Research and Development Centre
Ministry of Defence,Sri Lanka Institute of National Defence Studies
Ministry of Defence,Coast Guard Department of Sri Lanka
Ministry of Defence,Sri Lanka Logistics and Technologies Limited
Ministry of Defence,Rakna Arakshaka Lanka Ltd.
Ministry of Defence,Department of Police
Ministry of Defence,National Dangerous Drugs Control Board
Ministry of Defence,National Media Centre
Ministry of Defence,Department of Government Printing
Ministry of Mahaweli Development and Environment,Ministry of Mahaweli Development and Environment
Ministry of Mahaweli Development and Environment,Mahaweli Authority of Sri Lanka (except Mahaweli Livestock Enterprise Company Ltd.)
Ministry of Mahaweli Development and Environment,Moragahakanda and Kalu Ganga Reservoir Project
Ministry of Mahaweli Development and Environment,Dam Safety & Water Resources Planning Project
Ministry of Mahaweli Development and Environment,Mahaweli Consolidation Project (System B Rehabilitation)
Ministry of Mahaweli Development and Environment,Uma Oya Development Project
Ministry of Mahaweli Development and Environment,Department of Forest Conservation
Ministry of Mahaweli Development and Environment,Central Environmental Authority
Ministry of Mahaweli Development and Environment,Geological Survey and Mines Bureau
Ministry of Mahaweli Development and Environment,GSMB Technical Services (Pvt) Ltd.
Ministry of Mahaweli Development and Environment,State Timber Corporation
Ministry of Mahaweli Development and Environment,National Gem and Jewellery Authority
Ministry of Mahaweli Development and Environment,Gem and Jewellery Research Institute
Ministry of Mahaweli Development and Environment,Lanka Timber Plant and Industries
Ministry of Mahaweli Development and Environment,Marine Environment Protection Authority
Ministry of Mahaweli Development and Environment,Department of Coast Conservation and and Coastal Resource Management
Ministry of Mahaweli Development and Environment,Sustainable Development Council
Ministry of Mahaweli Development and Environment,Central Engineering Consultancy Bureau and its subsidiary companies and associates
Ministry of Mahaweli Development and Environment,Engineering Council Sri Lanka
Ministry of Mahaweli Development and Environment,Climate Resilient Integrated Water Management Project
Ministry of Mahaweli Development and Environment,Ecosystem Conservation and Management Project
Ministry of Mahaweli Development and Environment,Mahaweli Water Security Investment Programme
Ministry of Mahaweli Development and Environment,The Project of Addressing Climate Change Impacts on Marginalized Agricultural Communities Living in the Mahaweli River Basin of Sri Lanka
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Department of National Planning
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Department of Census and Statistics
