Ministry of Mahaweli Development & Environment,Mahaweli Authority of Sri Lanka (except Mahaweli Livestock Enterprise Company Ltd.)
Ministry of Mahaweli Development & Environment,Moragahakanda and Kalu Ganga Reservoir Project
Ministry of Mahaweli Development & Environment,Dam Safety & Water Resources Planning Project
Ministry of Mahaweli Development & Environment,Mahaweli Consolidation Project (System B Rehabilitation)
Ministry of Mahaweli Development & Environment,Udawalawe Left Bank Project
Ministry of Mahaweli Development & Environment,Uma Oya Development Project
Ministry of Mahaweli Development & Environment,Department of Forests
Ministry of Mahaweli Development & Environment,Central Environmental Authority
Ministry of Mahaweli Development & Environment,Geological Survey and Mines Bureau
Ministry of Mahaweli Development & Environment,GSMB Technical Services (Pvt) Ltd.
Ministry of Mahaweli Development & Environment,State Timber Corporation
Ministry of Mahaweli Development & Environment,National Gem and Jewellery Authority
Ministry of Mahaweli Development & Environment,Gem and Jewellery Research Institute
Ministry of Mahaweli Development & Environment,Lanka Timber Plant and Industries
Ministry of Mahaweli Development & Environment,Marine Environment Protection Authority
Ministry of Mahaweli Development & Environment,Department of Coast Conservation
Ministry of Mahaweli Development & Environment,Central Engineering Consultancy Bureau and its subsidiary companies and associates
Ministry of Mahaweli Development & Environment,"Engineering Council, Sri Lanka"
