Ministry of Education, National Institute of Education
Ministry of Education, Directorates of Education
Ministry of Education, National Authority on Teachers Education
Ministry of Education, Colleges of Education
Ministry of Education, Teachers’ Colleges
Ministry of Education, Department of Examination
Ministry of Education, UNESCO National Commission of Sri Lanka
Ministry of Education, National Education Commission
State Ministry of Education Services, Department of Education Publications
State Ministry of Education Services, Sri Lanka Publication Development Bureau
State Ministry of Education Services, National Library and Documentation Services Board
State Ministry of Education Services, Pirivena Education Board
State Ministry of Education Services, State Printing Cooperation
State Ministry of Development Banks and Loans,
