"Ministry of Public Order, Disaster Management & Christian Affairs",Department of Police
"Ministry of Public Order, Disaster Management & Christian Affairs",Department of Immigration and Emigration
"Ministry of Public Order, Disaster Management & Christian Affairs",National Dangerous Drugs Control Board
"Ministry of Public Order, Disaster Management & Christian Affairs",National Disaster Management Council
"Ministry of Public Order, Disaster Management & Christian Affairs",Disaster Management Centre
"Ministry of Public Order, Disaster Management & Christian Affairs",National Disaster Relief Services Centre
"Ministry of Public Order, Disaster Management & Christian Affairs",Department of Meteorology
"Ministry of Public Order, Disaster Management & Christian Affairs",Department of Christian Religious Affairs
"Ministry of Public Order, Disaster Management & Christian Affairs",Department of Registration of Persons
Ministry of Home Affairs & Fisheries,All District Secretariats
Ministry of Home Affairs & Fisheries,All Divisional Secretariats
Ministry of Home Affairs & Fisheries,Department of Registrar General
Ministry of Home Affairs & Fisheries,Department of Fisheries and Aquatic Resources
Ministry of Home Affairs & Fisheries,National Aquaculture Development Authority
Ministry of Home Affairs & Fisheries,Ceylon Fishery Harbours Corporation
Ministry of Home Affairs & Fisheries,Cey-Nor Foundation Ltd.
Ministry of Home Affairs & Fisheries,Ceylon Fisheries Corporation
Ministry of Home Affairs & Fisheries,National Aquatic Resources Research and Development Agency
Ministry of Food Security,"Department of Measurement Units, Standards and Services"
Ministry of Food Security,Department of Food Commissioner
Ministry of Food Security,Department of Co-operative Development (Registrar of Co-oprative Societies)
Ministry of Food Security,Co-operative Employees Commission
Ministry of Food Security,Internal Trade Department
Ministry of Food Security,National Institute of Co-operative Development
Ministry of Food Security,Regional Economic Centers
Ministry of Food Security,Paddy Marketing Board
"Ministry of Public Administration, Provincial Councils, Local Government & Democratic Governance",Sri Lanka Institute of Development Administration
"Ministry of Public Administration, Provincial Councils, Local Government & Democratic Governance",Distance Learning Centre Ltd.
"Ministry of Public Administration, Provincial Councils, Local Government & Democratic Governance",Productivity Secretariat
"Ministry of Public Administration, Provincial Councils, Local Government & Democratic Governance",Department of Official Languages
"Ministry of Public Administration, Provincial Councils, Local Government & Democratic Governance",Official Languages Commission
"Ministry of Public Administration, Provincial Councils, Local Government & Democratic Governance",National Institute of Language Education Training
"Ministry of Public Administration, Provincial Councils, Local Government & Democratic Governance",Department of Pensions
"Ministry of Public Administration, Provincial Councils, Local Government & Democratic Governance",Public Service Pensioners’ Trust Fund
"Ministry of Public Administration, Provincial Councils, Local Government & Democratic Governance",Local Loans and Development Fund
"Ministry of Public Administration, Provincial Councils, Local Government & Democratic Governance",Sri Lanka Institute of Local Governance
Ministry of Finance,General Treasury
Ministry of Finance,Department of Fiscal Policy
Ministry of Finance,Department of National Budget
Ministry of Finance,Department of Public Enterprises
Ministry of Finance,Department of Public Finance
Ministry of Finance,Department of Legal Affairs
Ministry of Finance,Department of Inland Revenue
Ministry of Finance,Department of Import and Export
Ministry of Finance,Department of Valuation
Ministry of Finance,Department of Management Audit
Ministry of Finance,Department of Information Technology Management
Ministry of Finance,Sri Lanka Customs
Ministry of Finance,Department of Excise
Ministry of Finance,Department of Treasury Operations
Ministry of Finance,Department of State Accounts
Ministry of Finance,Department of Development Finance
Ministry of Finance,Department of Trade and Investment Policy
Ministry of Finance,Department of Project Management and Monitoring
Ministry of Finance,Insurance Board of Sri Lanka
Ministry of Finance,Sri Lanka Export Credit Insurance Corporation
Ministry of Finance,Strategic Enterprise Management Agency
Ministry of Finance,Sri Lanka Insurance Corporation and its Subsidiaries and Associates
Ministry of Finance,Sri Lanka Accounting and Auditing Standards Monitoring Board
Ministry of Finance,Academy of Financial Studies (Miloda)
Ministry of Finance,Public Service Mutual Provident Association
Ministry of Finance,National Development Trust Fund
Ministry of Finance,National Lotteries Board
Ministry of Finance,Development Lotteries Board
Ministry of Finance,"All State Banks and their Subsidiaries, associates etc."
Ministry of Finance,Lady Lochore Fund
Ministry of Finance,Social Security Board
Ministry of Finance,"Strike, Riot, Civil Commotion and Terrorism Fund"
Ministry of Finance,State Resources Management Corporation
Ministry of Finance,Hotel Developers (Lanka) PLC (PQ 143)
Ministry of Finance,National Pay Commission
Ministry of Finance,Department of Management Services
Ministry of Finance,Tax Appeals Commission
Ministry of Health and Indigenous Medicine,Department of Health Services
Ministry of Health and Indigenous Medicine,Sri Jayewardenepura General Hospital
Ministry of Health and Indigenous Medicine,"Vijaya Kumaranatunga Memorial Hospital, Seeduwa"
Ministry of Health and Indigenous Medicine,National Authority on Tobacco and Alcohol
Ministry of Health and Indigenous Medicine,State Pharmaceutical Corporation
Ministry of Health and Indigenous Medicine,State Pharmaceutical Manufacturing Corporation
Ministry of Health and Indigenous Medicine,"All National, Teaching and Specified Government Hospitals"
Ministry of Health and Indigenous Medicine,National Health Council
Ministry of Health and Indigenous Medicine,Medical Research Institute
Ministry of Health and Indigenous Medicine,National Institute of Health Science
Ministry of Health and Indigenous Medicine,Ashraff Memorial Hospital
Ministry of Health and Indigenous Medicine,School of Medical Laboratory Technology
Ministry of Health and Indigenous Medicine,Sri Lanka Medical Council
Ministry of Health and Indigenous Medicine,Sri Lanka Medical College Council
Ministry of Health and Indigenous Medicine,National Health Development Fund
Ministry of Health and Indigenous Medicine,Private Medical Institute Council
Ministry of Health and Indigenous Medicine,"National Institute of Nephrology, Dialysis and Transplantation"
Ministry of Health and Indigenous Medicine,Department of Ayurveda
Ministry of Health and Indigenous Medicine,Sri Lanka Ayurvedic Drugs Corporation
Ministry of Health and Indigenous Medicine,Ayurvedic Medical Council
Ministry of Health and Indigenous Medicine,Ayurvedic College and Hospital Board
Ministry of Health and Indigenous Medicine,"Homeopathy Hospital, Welisara"
Ministry of Health and Indigenous Medicine,Homeopathy Medical Council
Ministry of Health and Indigenous Medicine,Ayurveda Teaching Hospitals
Ministry of Health and Indigenous Medicine,Sri Lanka Thriposha Ltd
Ministry of Housing and Samurdhi,Condominium Management Authority (Common Amenities Board)
Ministry of Housing and Samurdhi,National Housing Development Authority
Ministry of Housing and Samurdhi,Centre for Housing Planning and Building
Ministry of Housing and Samurdhi,Building Materials Corporation
Ministry of Housing and Samurdhi,National Building Research Organization
Ministry of Housing and Samurdhi,Department of Buildings
Ministry of Housing and Samurdhi,Government Factory
Ministry of Housing and Samurdhi,"Institute of Construction, Training and Development"
Ministry of Housing and Samurdhi,State Engineering Corporation
Ministry of Housing and Samurdhi,State Development and Construction Corporation
Ministry of Housing and Samurdhi,Devco Showa (Pvt.) Ltd.
Ministry of Housing and Samurdhi,National Equipment and Machinery Organization
Ministry of Housing and Samurdhi,The Urban Settlement Development Authority
Ministry of Housing and Samurdhi,Department of Divineguma Development
Ministry of Housing and Samurdhi,Rural Development Training and Research Institute
Ministry of Housing and Samurdhi,National Engineering Research and Development Centre
Ministry of Tourism and Sports,Sri Lanka Tourism Promotion Bureau
Ministry of Tourism and Sports,Sri Lanka Tourism Development Authority
Ministry of Tourism and Sports,Sri Lanka Convention Bureau
Ministry of Tourism and Sports,Sri Lanka Institute of Tourism and Hotel Management
Ministry of Tourism and Sports,Department of National Zoological Gardens
Ministry of Tourism and Sports,Department of National Botanical Gardens
Ministry of Tourism and Sports,Department of Wildlife Conservation
Ministry of Tourism and Sports,Wildlife Trust
Ministry of Tourism and Sports,Ape Gama
Ministry of Tourism and Sports,Department of Sports Development
Ministry of Tourism and Sports,Sugathadasa National Sports Complex Authority
Ministry of Tourism and Sports,National Institute of Sports Science
Ministry of Tourism and Sports,National Sports Council
Ministry of Tourism and Sports,Institute of Sports Medicine
Ministry of Tourism and Sports,Sri Lanka Anti-doping Agency
Ministry of Industry and Commerce,Department of Commerce
Ministry of Industry and Commerce,Registrar of Companies
Ministry of Industry and Commerce,National Intellectual Property Office of Sri Lanka
Ministry of Industry and Commerce,Sri Lanka Export Development Board
Ministry of Industry and Commerce,National Enterprise Development Authority
Ministry of Industry and Commerce,Clothing Industry Training Institute
Ministry of Industry and Commerce,Sri Lanka Institute of Textile and Apparel
Ministry of Industry and Commerce,Textile Training and Service Centre
Ministry of Industry and Commerce,Industrial Development Board
Ministry of Industry and Commerce,Bogala Graphite Lanka Ltd.
Ministry of Industry and Commerce,Kahatagaha Graphite
Ministry of Industry and Commerce,Lanka Leyland Ltd.
Ministry of Industry and Commerce,Lanka Textile Mills Emporium Ltd.
Ministry of Industry and Commerce,Department of Textile Industries
Ministry of Industry and Commerce,Thulhiriya Textile Mills Ltd.
Ministry of Industry and Commerce,Lanka Ashok Leyland Ltd.
Ministry of Industry and Commerce,Mantai Salt Ltd.
Ministry of Industry and Commerce,Lanka Salusala Ltd.
Ministry of Industry and Commerce,Ceylon Ceramics Corporation (Brick and Tiles Division)
Ministry of Industry and Commerce,Lanka Sack Makers Ltd.
Ministry of Industry and Commerce,Paranthan Chemicals Ltd.
Ministry of Industry and Commerce,National Paper Company Ltd.
Ministry of Industry and Commerce,Lanka Mineral Sands Company
Ministry of Industry and Commerce,Lanka Cement Ltd.
