"Minister of Technology","Information and Communication Technology Agency and Allied Institutions"
"Minister of Technology","Sri lanka Computer Emergency readiness Team"
"Minister of Technology","Sri lanka Standards institute"
"Minister of Technology","Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions"
"Minister of Technology","Centre of Excellence for Robotic Applications"
"Minister of Technology","Data Protection Authority of Sri Lanka"
"Minister of Agriculture and Plantation Industries","Department of Agriculture"
"Minister of Agriculture and Plantation Industries","Department of Agrarian Development"
"Minister of Agriculture and Plantation Industries","Agriculture and Agrarian Insurance Board"
"Minister of Agriculture and Plantation Industries","Paddy Marketing Board"
"Minister of Agriculture and Plantation Industries","Hector Kobbekaduwa Agrarian Research and Training Institute"
"Minister of Agriculture and Plantation Industries","Sri Lanka Council for Agricultural Research Policy"
"Minister of Agriculture and Plantation Industries","National Agricultural Diversification and Settlement Authority"
"Minister of Agriculture and Plantation Industries","National Fertilizer Secretariat"
"Minister of Agriculture and Plantation Industries","Ceylon Fertilizer Company Ltd."
"Minister of Agriculture and Plantation Industries","Colombo Commercial Fertilizer Company"
"Minister of Agriculture and Plantation Industries","National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board)"
"Minister of Agriculture and Plantation Industries","Institute of Post-Harvest Technology"
"Minister of Agriculture and Plantation Industries","Department of Animal Production and Health"
"Minister of Agriculture and Plantation Industries","National Livestock Development Board and affiliated companies"
"Minister of Agriculture and Plantation Industries","Milco (Pvt.) Ltd"
"Minister of Agriculture and Plantation Industries","Mahaweli Livestock Enterprise Limited"
"Minister of Agriculture and Plantation Industries","Regional Economic Centers"
"Minister of Agriculture and Plantation Industries","National Institute of Plantation Management"
"Minister of Agriculture and Plantation Industries","Sri Lanka Tea Board"
"Minister of Agriculture and Plantation Industries","Tea Small Holdings Development Authority"
"Minister of Agriculture and Plantation Industries","Tea Research Institute"
"Minister of Agriculture and Plantation Industries","Tea and Rubber Estates (Control and Fragmentation) Board"
"Minister of Agriculture and Plantation Industries","Department of Rubber Development"
"Minister of Agriculture and Plantation Industries","Rubber Research Institute"
"Minister of Agriculture and Plantation Industries","Sri Lanka Rubber Manufacturing and Export Corporation"
"Minister of Agriculture and Plantation Industries","Tea Shakthi Fund"
"Minister of Agriculture and Plantation Industries","Thurusaviya Fund"
"Minister of Agriculture and Plantation Industries","Department of Export Agriculture"
"Minister of Agriculture and Plantation Industries","Sri Lanka Cashew Corporation"
"Minister of Agriculture and Plantation Industries","Spices and Allied Products Marketing Board"
"Minister of Agriculture and Plantation Industries","Coconut Cultivation Board"
"Minister of Agriculture and Plantation Industries","Coconut Development Authority"
"Minister of Agriculture and Plantation Industries","Coconut Research Institute"
"Minister of Agriculture and Plantation Industries","Palmyrah Development Board"
"Minister of Agriculture and Plantation Industries","Kithul Development Board"
"Minister of Agriculture and Plantation Industries","Kapruka Fund"
"Minister of Agriculture and Plantation Industries","Department of Cinnamon Development"
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Buddhist Affairs
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Hindu Religious and Cultural Affairs
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Christian Religious Affairs
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Muslim Religious and Cultural Affairs
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of National Museums
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of National Archives
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Public Trustee
"Minister of Buddhasasana, Religious and Cultural Affairs",Central Cultural Fund
"Minister of Buddhasasana, Religious and Cultural Affairs",Buddha Sasana Fund
"Minister of Buddhasasana, Religious and Cultural Affairs",Buddhist Renaissance Fund
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Cultural Affairs
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Archaeology
"Minister of Buddhasasana, Religious and Cultural Affairs",Tower Hall Theatre Foundation
"Minister of Buddhasasana, Religious and Cultural Affairs",National Arts Council
"Minister of Buddhasasana, Religious and Cultural Affairs",Gramodaya Folk Arts Centre
"Minister of Buddhasasana, Religious and Cultural Affairs",Galle Heritage Foundation
"Minister of Buddhasasana, Religious and Cultural Affairs",National Performing Arts Theatre (Nelum Pokuna)
"Minister of Buddhasasana, Religious and Cultural Affairs",Ape Gama
"Minister of Buddhasasana, Religious and Cultural Affairs",Amaradeva Aesthetic and Research Centre
