Terminate,All
State Minister of Tea Industry Development, Tea Shakthi Fund
State Minister of Tea Industry Development, Kalubovitiyana Tea Factory Ltd
State Minister of Export Agriculture, Sri Lanka Cashew Corporation
State Minister of Export Agriculture, Hingurana Sugar Industry Ltd
State Minister of Export Agriculture, Ceylon Sugar (Pvt ) Ltd
State Minister of Export Agriculture, Kantale Sugar Company Ltd
State Minister of Export Agriculture, Sugar Cane Research Institute
State Minister of Export Agriculture, Department of Export Agriculture
State Minister of Export Agriculture, Spices and Allied Products Marketing Board
 Minister of  Industrial Export and Investment Promotion, Sri Lanka Export Development Board
State Minister of Investment Promotion,"Assets vested to the Secretary to the Treasury, under the Act, No 43 of 2011"
Minister of Tourism and Civil  Aviation, Civil Aviation Authority
Minister of Tourism and Civil  Aviation, Airport and Aviation Services (Sri Lanka) Ltd
Minister of Tourism and Civil  Aviation, Sri Lankan Air Line Limited and its subsidiaries
State Minister of Tourism Promotion Affairs,Sri Lanka Tourism Promotion Bureau
State Minister of Tourism Promotion Affairs, Sri Lanka Tourism Development Authority
State Minister of Tourism Promotion Affairs,Sri Lanka Institute of Tourism and Hotel Management
State Minister of Tourism Promotion Affairs, Sri Lanka Exhibition and Convention Bureau
