Institutions Operating with Guidance and Coordination at National Level for National Priorities->Presidential Secretariat  -  National Priority Programme,Telecommunication Regulatory  Commission of Sri Lanka and  Allied Institutions
Presidential Secretariat  -  National Priority Programme,Information and Communication Technology Agency and Allied  Institutions
Presidential Secretariat  -  National Priority Programme,Sri Lanka Computer Emergency  Readiness Team
Presidential Secretariat  -  National Priority Programme,Board of Investment of Sri Lanka
Presidential Secretariat  -  National Priority Programme,Colombo Port City Project
Presidential Secretariat  -  National Priority Programme,Sri  Lanka Telecom and its Subsidiaries  and Allied Institutions
Presidential Secretariat  -  National Priority Programme,All Information Technology Parks
Presidential Secretariat  -  National Priority Programme,Presidential  Task  Force to study and provide instructions on measures to be taken by all Armed Forces to prevent Corona virus infection among Members of the Tri-Forces
Presidential Secretariat  -  National Priority Programme,"Presidential Task Force to build a Secure Country, Disciplined, Virtuous and Lawful Society"
Presidential Secretariat  -  National Priority Programme,Covid-19 Ministerial Task Force
Presidential Secretariat  -  National Priority Programme,Presidential Task Force for Archaeological HeritageManagement in the Eastern  Province
Presidential Secretariat  -  National Priority Programme,Presidential Task Force on Sri Lanka’s Education Affairs
Presidential Secretariat  -  National Priority Programme,Presidential Task Force for Economic Revival and Poverty Alleviation
Minister of Defence,Office of the Chief of Defence Staff
Minister of Defence,Sri Lanka Army
Minister of Defence,Sri Lanka Navy
Minister of Defence,Sri Lanka Air Force
Minister of Defence,Rakna Arakshana Lanka Ltd.
Minister of Defence,National Authority for the implementation of Chemical Weapons Convention
Minister of Defence,Department of Civil Security
Minister of Defence,State Intelligence Service
Minister of Defence,Coast Guard Department of Sri Lanka
Minister of Defence,National Dangerous Drugs Control Board
Minister of Defence,Sir John Kotelawala Defence University
Minister of Defence,Defence Services Command and Staff College
Minister of Defence,Defence Services School
Minister of Defence,National Cadet Corps
Minister of Defence,National Defence Fund
Minister of Defence,Defence Research and Development Centre
Minister of Defence,Sri Lanka Institute of National Defence Studies
Minister of Defence,Ranaviru Seva Authority
Minister of Defence,“Api Wenuwen Api” Fund
Minister of Defence,Department of Multi-purpose Development Task Force
Minister of Defence,Department of Archaeology
Minister of Defence,Meloda Institute (Academy of Financial Studies)
