"State Minister of Internal Security, Home Affairs and Disaster Management",All District Secretariats and Divisional Secretariats
"State Minister of Internal Security, Home Affairs and Disaster Management",Sri Lanka Police
"State Minister of Internal Security, Home Affairs and Disaster Management",National Police Academy
"State Minister of Internal Security, Home Affairs and Disaster Management",Department of Registrar General
"State Minister of Internal Security, Home Affairs and Disaster Management",Department of Registration of Persons
"State Minister of Internal Security, Home Affairs and Disaster Management",Department of Immigration and Emigration
"State Minister of Internal Security, Home Affairs and Disaster Management","Secretariat for Non-Governmental Organizations
"
"State Minister of Internal Security, Home Affairs and Disaster Management",National Disaster Management Council
"State Minister of Internal Security, Home Affairs and Disaster Management",Disaster Management Centre
"State Minister of Internal Security, Home Affairs and Disaster Management",National Disaster Relief Services Centre
"State Minister of Internal Security, Home Affairs and Disaster Management",Department of Meteorology
"State Minister of Internal Security, Home Affairs and Disaster Management",National Building Research Organization
Minister of Technology,
Minister of Finance,Treasury Affairs
Minister of Finance,General Treasury
Minister of Finance,National Planning Department
Minister of Finance,Department of Fiscal Policy
Minister of Finance,Department of National Budget
Minister of Finance,Department of Management Services 
Minister of Finance,Department of External Resources
Minister of Finance,Department of Public Finance
Minister of Finance,Department of Treasury Operations
Minister of Finance,Department of Public Accounts
Minister of Finance,Department of Trade and Investment Policies
Minister of Finance,Department of Information Technology Management 
Minister of Finance,Department of Legal Affairs
Minister of Finance,Department of Management Auditing 
Minister of Finance,Department of Development Finance
Minister of Finance,Office of Comptroller General
Government Revenue Management Affairs,Department of Inland Revenue
Government Revenue Management Affairs,Sri Lanka Customs
Government Revenue Management Affairs,Department of Excise
Government Revenue Management Affairs,National Lotteries Board
Government Revenue Management Affairs,Development Lotteries Board 
Government Revenue Management Affairs,Department of Valuation
Government Revenue Management Affairs,Importand Export Control Department
Bank Financial and Capital Market Policies and Regulatory Affairs,Central Bank of Sri Lanka
Bank Financial and Capital Market Policies and Regulatory Affairs,"All State Banks, Financial, Insurance and their subsidiaries and related institutions"
Bank Financial and Capital Market Policies and Regulatory Affairs,Sri Lanka Insurance Board
Bank Financial and Capital Market Policies and Regulatory Affairs,Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies
Bank Financial and Capital Market Policies and Regulatory Affairs,Credit Information Bureau
Bank Financial and Capital Market Policies and Regulatory Affairs,Department of Registrar Companies
Bank Financial and Capital Market Policies and Regulatory Affairs,Security and Exchange Commission of SriLanka
Bank Financial and Capital Market Policies and Regulatory Affairs,Sri Lanka Accounting and Auditing Standard Monitoring Board
Bank Financial and Capital Market Policies and Regulatory Affairs,Public Utilities Commission of Sri Lanka
Bank Financial and Capital Market Policies and Regulatory Affairs,Sri Lanka Export Credit Insurance
"Statistics, information and Academic Affairs",DepartmentofCensusandStatistics 
"Statistics, information and Academic Affairs",InstituteofPolicyStudies
"Statistics, information and Academic Affairs",SustainableDevelopmentCouncil
Welfare and Social Security Activities,Welfare Benefits Board
Welfare and Social Security Activities,Public Service Mutual Provident Association
Provision of Funds,Lady Lochore Fund
Provision of Funds,"Strike, Riot, Civil Commotion and Terrorism Fund"
Provision of Funds,National Insurance Trust Fund iEmployees’ Trust Fund
Provision of Funds,Shrama Vasana Fund
Provision of Funds,National Health Development Fund
Provision of Funds,Kidney Fund
Provision of Funds,Tea Shakthi Fund
Provision of Funds,Kapruka Fund
Provision of Funds,Public Service Pensioners’ Trust Fund
Provision of Funds,Buddha Sasana Fund
Provision of Funds,Buddhist Renaissance Fund
Provision of Funds,Skills Development Fund Ltd.
Provision of Funds,Local Loans and Development Fund
Provision of Funds,Inventors’ Fund 
Provision of Funds,Thurusaviya Fund
Provision of Funds,Central Cultural Fund
Institutions to be liquidated,Department of Telecommunications
Institutions to be liquidated,Wildlife Trust
Institutions to be liquidated,Sri Lanka Media Training Institute
Institutions to be liquidated,Internal Trade Department
Institutions to be liquidated,"Pulse  Crops,  Grain  Research  and  Production Authority"
Institutions to be liquidated,Janatha Fertilizer Enterprises Ltd
Institutions to be liquidated,Hingurana Sugar Factory (Pvt) Limited
Institutions to be liquidated,Protection of Children National Trust Fund
State Minister of Money and Capital Market and State Enterprise Reforms,Department of Public Enterprises
State Minister of Money and Capital Market and State Enterprise Reforms,Department of Project Management and Supervision
State Minister of Money and Capital Market and State Enterprise Reforms,National Operations Centre
State Minister of Money and Capital Market and State Enterprise Reforms,Housing Development Finance Corporation
State Minister of Money and Capital Market and State Enterprise Reforms,State Mortgage and Investment Bank
State Minister of Money and Capital Market and State Enterprise Reforms,"Institutions coming under the Revival (Removal) of Underperforming Enterprises or 
Underutilized Assets Act vested to the Secretary to the Treasury"
"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment and 
Business Development",State Resources Management Corporation
"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment and 
Business Development",Department of Samurdhi Development
"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment and 
Business Development",Regional Development Bank
"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment and 
Business Development",Small and Medium Enterprise Venture Capital Company
"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment and 
Business Development",Small and Medium Enterprise Authority
"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment and 
Business Development",Grama Shakthi Bureau
"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment and 
Business Development",National Social Development Institute
"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment and 
Business Development",Rural Development Training and Research Institute
"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment and 
Business Development",Social Security Board
"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment and 
Business Development",National Council for Persons with Disabilities
"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment and 
Business Development",National Secretariat for Persons with Disabilities
"Minister of Buddha Sasana, Religious and Cultural Affairs",Department of Buddhist Affairs
"Minister of Buddha Sasana, Religious and Cultural Affairs",Department of Hindu Religious and Cultural Affairs
"Minister of Buddha Sasana, Religious and Cultural Affairs",Department of Christian Religious Affairs
"Minister of Buddha Sasana, Religious and Cultural Affairs",Department of Muslim Religious and Cultural Affairs
"Minister of Buddha Sasana, Religious and Cultural Affairs",Department of Cultural Affairs
"Minister of Buddha Sasana, Religious and Cultural Affairs",Department of National Museums
"Minister of Buddha Sasana, Religious and Cultural Affairs",Public Performance Board
"Minister of Buddha Sasana, Religious and Cultural Affairs",Department of National Archives 
"Minister of Buddha Sasana, Religious and Cultural Affairs",National Film Corporation
"Minister of Buddha Sasana, Religious and Cultural Affairs",S. W. R. D. Bandaranaike National Memorial Foundation
"Minister of Buddha Sasana, Religious and Cultural Affairs",J.R.JayawardeneCentre
"State Minister of National Heritage, Performing Arts and Rural Arts Promotion",Tower Hall Theatre Foundation
"State Minister of National Heritage, Performing Arts and Rural Arts Promotion",National Arts Council
"State Minister of National Heritage, Performing Arts and Rural Arts Promotion",Gramodaya Folk Arts Centre
"State Minister of National Heritage, Performing Arts and Rural Arts Promotion",Galle Heritage Foundation
"State Minister of National Heritage, Performing Arts and Rural Arts Promotion",Mahinda Rajapaksa National Tele Cinema Park
"State Minister of National Heritage, Performing Arts and Rural Arts Promotion",National Performing Arts Theatre (Nelum Pokuna)
 Minister of Urban Development and Housing,National Physical Planning Department 
 Minister of Urban Development and Housing,Hotel Developers (Lanka) PLC (PQ143)
"State Minister of Urban Development, Coast Conservation, Waste Disposal and Community Cleanliness",Urban Development Authority
"State Minister of Urban Development, Coast Conservation, Waste Disposal and Community Cleanliness",Sri Lanka Land Reclamation Development Corporation and their subsidiaries and related institutions
"State Minister of Urban Development, Coast Conservation, Waste Disposal and Community Cleanliness",Urban Settlement Development Authority
"State Minister of Urban Development, Coast Conservation, Waste Disposal and Community Cleanliness",Condominium Management Authority
"State Minister of Urban Development, Coast Conservation, Waste Disposal and Community Cleanliness",Marine Environment Protection Authority
"State Minister of Urban Development, Coast Conservation, Waste Disposal and Community Cleanliness",Department of Coast Conservation and Coastal Resource Management
"State Minister of Urban Development, Coast Conservation, Waste Disposal and Community Cleanliness",Selendiva Investments Limited
"State Minister of Rural Housing, Construction and Building Material Industries",National Housing Development Authority
"State Minister of Rural Housing, Construction and Building Material Industries",Building Material Corporation Limited
"State Minister of Rural Housing, Construction and Building Material Industries",Department of Buildings
"State Minister of Rural Housing, Construction and Building Material Industries",Department of Government Factories
"State Minister of Rural Housing, Construction and Building Material Industries",Construction Industry Development Authority
"State Minister of Rural Housing, Construction and Building Material Industries",State Engineering Corporation
"State Minister of Rural Housing, Construction and Building Material Industries",State Development and Construction Corporation
"State Minister of Rural Housing, Construction and Building Material Industries",National Equipment and Machinery Organization
"State Minister of Rural Housing, Construction and Building Material Industries",OceanViewDevelopment(Pvt)Ltd
State Minister of Estate Housing and Community Infrastructure,New Villages Development Authority for Plantation Region
State Minister of Estate Housing and Community Infrastructure,PlantationHumanDevelopmentTrust
State Minister of Estate Housing and Community Infrastructure,Saumyamoorthi Thondaman Memorial Foundation
State Minister of Estate Housing and Community Infrastructure,Estate Sector Self-Employment Revolving Fund
Minister of Justice,
"State Minister of Prison Reforms and Prisoners’ Rehabilitation
",
Foreign Minister,
State Minister of Regional Cooperation,
"Minister of Public Services, Provincial Councils and Local Government",Department of Pensions Benefits Association
"Minister of Public Services, Provincial Councils and Local Government",Sri Lanka Institute of Development Administration
"Minister of Public Services, Provincial Councils and Local Government",Distance Learning Centre Ltd.
"Minister of Public Services, Provincial Councils and Local Government",Department of Official Languages
"Minister of Public Services, Provincial Councils and Local Government",Official Languages Commission
"Minister of Public Services, Provincial Councils and Local Government",National Human Resources Development Council of Sri Lanka
"Minister of Public Services, Provincial Councils and Local Government",National Institute of Language Education and Training
State Minister of Provincial Councils and Local Government,Sri Lanka Institute of Local Government
Minister of Education,University Grants Commission
Minister of Education,"All State Universities, Postgraduate Institutions and other Institutions under the purview of University Grants Commission"
Minister of Education,Colleges of Education
Minister of Education,Teachers’ Colleges
Minister of Education,Department of Examination
Minister of Education,UNESCO National Commission of SriLanka
Minister of Education,Department of Educational Publications
Minister of Education,Sri Lanka Publication Development Bureau
Minister of Education,National Library and Documentation Services Board
Minister of Education,State Printing Corporation
Minister of Education,Directorates of Education
Minister of Education,Buddhasravaka Bhikku University
Minister of Education,Buddhistand Pali University of Sri Lanka
Minister of Education,Sri Lanka Institute of Advance Technological Education
"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services",Department of Probation and Childcare Services
"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services",National Child Protection Authority
"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services",Children’s Secretariat
"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services",Sri Lanka Women’s Bureau
"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services",National Committee on Women
"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services",Sri Lanka Thriposha Co. Ltd.
"State Minister of Education Reforms, Open Universities and Distance Learning Promotion",National Institute of Education
"State Minister of Education Reforms, Open Universities and Distance Learning Promotion",National Education Commission
"State Minister of Skills Development, Vocational Education, Research and Innovation",National Institute of Business Management and affiliated institutions
"State Minister of Skills Development, Vocational Education, Research and Innovation",University of Vocational Technology
"State Minister of Skills Development, Vocational Education, Research and Innovation",National Institute of Fisheries and Nautical Engineering (Ocean University)
"State Minister of Skills Development, Vocational Education, Research and Innovation",Vocational Training Authority of Sri Lanka
"State Minister of Skills Development, Vocational Education, Research and Innovation",National Apprenticeship and Industrial Training Authority
"State Minister of Skills Development, Vocational Education, Research and Innovation",Ceylon German Technical Training Institute
"State Minister of Skills Development, Vocational Education, Research and Innovation",Sri Lanka Institute of Printing
"State Minister of Skills Development, Vocational Education, Research and Innovation",Department of Technical Education and Training
"State Minister of Skills Development, Vocational Education, Research and Innovation",Industrial Technology Institute
"State Minister of Skills Development, Vocational Education, Research and Innovation",Sri Lanka Institute of Nano Technology (Pvt.) Ltd.
"State Minister of Skills Development, Vocational Education, Research and Innovation",National Institute of Fundamental Studies
"State Minister of Skills Development, Vocational Education, Research and Innovation",Sri Lanka Inventors’ Commission
"State Minister of Skills Development, Vocational Education, Research and Innovation",National Engineering Research And Development Centre
"State Minister of Skills Development, Vocational Education, Research and Innovation",National Research Council
"State Minister of Skills Development, Vocational Education, Research and Innovation",Secretariat of Science Technology & Innovation
"State Minister of Skills Development, Vocational Education, Research and Innovation",Tertiary and Vocational Education Commission
"State Minister of Skills Development, Vocational Education, Research and Innovation",National Science Foundation
"State Minister of Skills Development, Vocational Education, Research and Innovation",National science and technology Commission
"State Minister of Skills Development, Vocational Education, Research and Innovation",Planetarium of Sri Lanka
"State Minister of Skills Development, Vocational Education, Research and Innovation",Arthur C. Clarke Centre for Modern Technology
"State Minister of Dhamma Schools, Pirivenas and Bhikkhu Education",Pirivena Education Board
Minister of Labour,Department of Labour
Minister of Labour,National Institute of Labour Studies
Minister of Labour,Employees’ Provident Fund
Minister of Labour,National Institute for Occupational Safety and Health
Minister of Labour,Office of the Commissioner of Workmen’s Compensation
Minister of Labour,National Productivity Secretariat
State Minister of Foreign Employment Promotion and Market Diversification,Sri Lanka Foreign Employment Bureau
State Minister of Foreign Employment Promotion and Market Diversification,Sri Lanka Foreign Employment Agency
Minister of Environment,Central Environmental Authority
Minister of Environment,Geological Survey and Mines Bureau
Minister of Environment,GSMB Technical Services (Pvt.) Ltd.
Minister of Environment,Sri Lanka Climate Fund (Pvt.) Ltd
Minister of Wildlife and Forest Conservation,State Timber Corporation
"State Minister of Wildlife Protection, Adoption of Safety Measures Including the Construction of Electrical Fences and Trenches and Reforestation and Forest Resource Development",Department of Forest Conservation
"State Minister of Wildlife Protection, Adoption of Safety Measures Including the Construction of Electrical Fences and Trenches and Reforestation and Forest Resource Development",Department of Wildlife Conservation
"State Minister of Wildlife Protection, Adoption of Safety Measures Including the Construction of Electrical Fences and Trenches and Reforestation and Forest Resource Development",Department of National Zoological Gardens
Minister of Agriculture,Agriculture and Agrarian Insurance Board
Minister of Agriculture,Department of Agriculture
"State Minister of Paddy and Grains, Organic Food, Vegetables, Fruits, Chilies, Onion and Potato Cultivation Promotion, Seed Production and Advanced Technology Agriculture",Divisional Economic Centres
"State Minister of Paddy and Grains, Organic Food, Vegetables, Fruits, Chilies, Onion and Potato Cultivation Promotion, Seed Production and Advanced Technology Agriculture",Paddy Marketing Board
"State Minister of Paddy and Grains, Organic Food, Vegetables, Fruits, Chilies, Onion and Potato Cultivation Promotion, Seed Production and Advanced Technology Agriculture",Department of Agrarian Development
"State Minister of Paddy and Grains, Organic Food, Vegetables, Fruits, Chilies, Onion and Potato Cultivation Promotion, Seed Production and Advanced Technology Agriculture",Hector Kobbekaduwa Agrarian Research and Training Institute
"State Minister of Paddy and Grains, Organic Food, Vegetables, Fruits, Chilies, Onion and Potato Cultivation Promotion, Seed Production and Advanced Technology Agriculture",Sri Lanka Council for Agricultural Research Policy
"State Minister of Paddy and Grains, Organic Food, Vegetables, Fruits, Chilies, Onion and Potato Cultivation Promotion, Seed Production and Advanced Technology Agriculture",Institute of Post-Harvest Technology
State Minister of Production and Supply of Fertilizer and Regulation of Chemical Fertilizer and Insecticide Use,National Fertilizer Secretariat
State Minister of Production and Supply of Fertilizer and Regulation of Chemical Fertilizer and Insecticide Use,Ceylon Fertilizer Company Ltd.
State Minister of Production and Supply of Fertilizer and Regulation of Chemical Fertilizer and Insecticide Use,Colombo Commercial Fertilizer Company
State Minister of Production and Supply of Fertilizer and Regulation of Chemical Fertilizer and Insecticide Use,"National Agricultural Diversification and
Settlement Authority"
State Minister of Production and Supply of Fertilizer and Regulation of Chemical Fertilizer and Insecticide Use,"National Hunger Eradication Campaign Board
of Sri Lanka (National Food Promotion Board)"
"State Minister of Livestock, Farm Promotion and Dairy and Egg Related Industries",Department of Animal Production and Health
"State Minister of Livestock, Farm Promotion and Dairy and Egg Related Industries",National Livestock Development Board and affiliated companies
"State Minister of Livestock, Farm Promotion and Dairy and Egg Related Industries",Milco (Pvt.) Ltd
"State Minister of Livestock, Farm Promotion and Dairy and Egg Related Industries",Mahaweli Livestock Enterprise Limited
Minister of Irrigation,Department of Irrigation
Minister of Irrigation,"Major development projects including Uma Oya, Moragahakanda, Kalu Ganga, Gin, Nilwala, Malwathu Oya"
Minister of Irrigation,Central Engineering Consultancy Bureau and its subsidiaries and affiliated companies
Minister of Irrigation,Engineering Council of Sri Lanka
State Minister of Canals and Common Infrastructure Development in Settlements in Mahaweli Zones,Mahaweli Authority of Sri Lanka
"State Minister of Tanks, Reservoirs and Irrigation Development Related to Rural Paddy Fields",Affiliated Institutions of the Department of Agrarian Development and the Department of Irrigation
Minister of Lands,Department of Land Commissioner General
Minister of Lands,Land Reform Commission
Minister of Lands,Department of Surveyor General of Sri Lanka
Minister of Lands,Institute of Surveying and Mapping
Minister of Lands,Land Survey Council
"State Minister of Land Management, State Enterprises Land and Property Development",Department of Land Use Policy Planning
"State Minister of Land Management, State Enterprises Land and Property Development",Department of Land Settlement
Minister of Fisheries,Department of Fisheries and Aquatic Resources
Minister of Fisheries,North Sea Ltd
"State Minister of Ornamental Fish, Inland Fish and Prawn Farming, Fishery Harbour Development, Multiday Fishing Activities and Fish Exports",National Aquaculture Development Authority
"State Minister of Ornamental Fish, Inland Fish and Prawn Farming, Fishery Harbour Development, Multiday Fishing Activities and Fish Exports",Ceylon Fisheries Harbour Corporation
"State Minister of Ornamental Fish, Inland Fish and Prawn Farming, Fishery Harbour Development, Multiday Fishing Activities and Fish Exports",Cey-Nor Foundation Ltd
"State Minister of Ornamental Fish, Inland Fish and Prawn Farming, Fishery Harbour Development, Multiday Fishing Activities and Fish Exports",Sri Lanka Fisheries Corporation
"State Minister of Ornamental Fish, Inland Fish and Prawn Farming, Fishery Harbour Development, Multiday Fishing Activities and Fish Exports",National Aquatic Resources Research and Development Agency
Minister of Plantation,"Tea, Rubber and Coconut Estates (Control and Fragmentation) Board"
Minister of Plantation,Sri Lanka Tea Board
Minister of Plantation,Tea Research Institute
Minister of Plantation,Janatha Estate Development Board
Minister of Plantation,Sri Lanka State Plantation Corporation
"State Minister of Company Estate Reforms, Tea and Rubber Estates Related Crops Cultivation and Factories Modernization and Tea and Rubber Export Promotion",National Institute of Plantation Management
"State Minister of Company Estate Reforms, Tea and Rubber Estates Related Crops Cultivation and Factories Modernization and Tea and Rubber Export Promotion",Kalubovitiyana Tea Factory Ltd.
"State Minister of Company Estate Reforms, Tea and Rubber Estates Related Crops Cultivation and Factories Modernization and Tea and Rubber Export Promotion",Tea Small Holdings Development Authority
"State Minister of Company Estate Reforms, Tea and Rubber Estates Related Crops Cultivation and Factories Modernization and Tea and Rubber Export Promotion",Elkaduwa Plantation Ltd.
"State Minister of Company Estate Reforms, Tea and Rubber Estates Related Crops Cultivation and Factories Modernization and Tea and Rubber Export Promotion",Department of Rubber Development
"State Minister of Company Estate Reforms, Tea and Rubber Estates Related Crops Cultivation and Factories Modernization and Tea and Rubber Export Promotion",Rubber Research Institute of Sri Lanka
"State Minister of Company Estate Reforms, Tea and Rubber Estates Related Crops Cultivation and Factories Modernization and Tea and Rubber Export Promotion",Sri Lanka Rubber Manufacturing & Export Corporation Ltd.
"State Minister of Coconut, Kithul and Palmyrah Cultivation Promotion and Related Industrial Product Manufacturing and Export Diversification",Kurunegala Plantation Company Ltd.
"State Minister of Coconut, Kithul and Palmyrah Cultivation Promotion and Related Industrial Product Manufacturing and Export Diversification",Chilaw Plantation Company Ltd
"State Minister of Coconut, Kithul and Palmyrah Cultivation Promotion and Related Industrial Product Manufacturing and Export Diversification",Palmyra Development Board
"State Minister of Coconut, Kithul and Palmyrah Cultivation Promotion and Related Industrial Product Manufacturing and Export Diversification",Coconut Cultivation Board
"State Minister of Coconut, Kithul and Palmyrah Cultivation Promotion and Related Industrial Product Manufacturing and Export Diversification",Coconut Development Authority
"State Minister of Coconut, Kithul and Palmyrah Cultivation Promotion and Related Industrial Product Manufacturing and Export Diversification",Coconut Research Institute
"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion",Sri Lanka Cashew Corporation
"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion",Lanka Sugar Company (Pvt.) Ltd.
"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion",Kantale Sugar Company Ltd.
"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion",Sugarcane Research Institute
"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion",Gal Oya Plantation (Pvt.) Company
"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion",Spices and Allied Products Marketing Board
"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion",Department of Export Agriculture
Minister of Water Supply,National Water Supply and Drainage Board
Minister of Water Supply,Water Resources Board
State Minister of Rural and Divisional Drinking Water Supply Projects Development,Department of National Community Water Supply
Minister of Tourism,Sri Lanka Tourism Promotion Bureau
Minister of Tourism,Sri Lanka Tourism Development Authority
Minister of Tourism,Sri Lanka Institute of Tourism and Hotel Management
Minister of Tourism,Sri Lanka Convention Bureau
Minister of Tourism,Department Of National Botanic Gardens
State Minister of Aviation and Export Zones Development,Civil Aviation Authority of Sri Lanka
State Minister of Aviation and Export Zones Development,Airport and Aviation Services (Sri Lanka) Ltd.
State Minister of Aviation and Export Zones Development,Sri Lankan AirLines Limited and its subsidiaries
Minister of Industries,Ceylon Industrial Development Board
Minister of Industries,Lanka Leyland Ltd.
Minister of Industries,Lanka Ashok Leyland Ltd.
Minister of Industries,NationalPaper Corporation Ltd.
Minister of Industries,Kahagolle Engineering Services Company Ltd. (KESCO)
Minister of Industries,Manthai Salt Ltd.
Minister of Industries,Elephant Pass Saltern
Minister of Industries,Centre of Excellence for Robotic Applications
Minister of Industries,Lanka Cement Company
Minister of Industries,Sri Lanka Cement Corporation
Minister of Industries,LankaMineral Sands Company
Minister of Industries,Paranthan Chemicals Ltd.
Minister of Industries,Lanka Phosphate Company Ltd.
Minister of Industries,Kahatagaha Graphite
Minister of Industries,Ceylon Ceramics Corporation (Brick and Tiles Division)
Minister of Industries,BCC (Pvt.) Limited
Minister of Industries,National Enterprise Development Authority
Minister of Industries,Ape Gama - Office premises
Minister of Mass Media,Right to Information Commission
Minister of Mass Media,Department of Government Printing
Minister of Mass Media,Department of Government Information
Minister of Mass Media,Sri Lanka Press Council
Minister of Mass Media,Sri Lanka Broadcasting Corporation
Minister of Mass Media,Independent Television Network
Minister of Mass Media,Sri Lanka Rupavahini Corporation
Minister of Mass Media,Associated Newspapers of Ceylon Ltd.
Minister of Mass Media,Lanka Puwath Ltd.
Minister of Mass Media,Selacine Rupavahini Institute
Minister of Mass Media,Sri Lanka Foundation Institute
