"Statistics, information and Academic Affairs
",Terminate
Welfare and Social Security Activities,Terminate
Minister of Economic Policies and Plan Implementation,National Planning Department
Minister of Economic Policies and Plan Implementation,Department of Census and Statistics
Minister of Economic Policies and Plan Implementation,Institute of Policy Studies
Minister of Economic Policies and Plan Implementation,Sustainable Development Council
Minister of Economic Policies and Plan Implementation,Office of Comptroller General
Minister of Economic Policies and Plan Implementation,Department of Valuation
Minister of Economic Policies and Plan Implementation,Sri Lanka Accounting and Auditing Standard Monitoring Board
Minister of Economic Policies and Plan Implementation,Public Utilities Commission of Sri Lanka
Minister of Economic Policies and Plan Implementation,Welfare Benefits Board
Minister of Economic Policies and Plan Implementation,Public Service Mutual Provident Fund
"State Minister of Urban Development, Coast Conservation, Waste Disposal and Community Cleanliness-> State Minister of Urban Development, Waste Disposal and Community Cleanliness",Urban Development Authority
" State Minister of Urban Development, Waste Disposal and Community Cleanliness",Urban Settlement Development Authority
" State Minister of Urban Development, Waste Disposal and Community Cleanliness",Condominium Management Authority
" State Minister of Urban Development, Waste Disposal and Community Cleanliness",Selendiva Investments Limited
State Development and Construction Corporation,Terminate
State Minister of Coast Conservation & Low-Lying Lands Development,Sri Lanka Land Reclamation Development Corporation and their subsidiaries and related institutions
State Minister of Coast Conservation & Low-Lying Lands Development,Marine Environment Protection Authority
State Minister of Coast Conservation & Low-Lying Lands Development,Department of Coast Conservation and Coastal Resource Management
Minister of Agriculture,Paddy Marketing Board
Minister of Agriculture,Hector Kobbekaduwa Agrarian Research and Training Institute
Minister of Agriculture,Sri Lanka Council for Agricultural Research Policy
"State Minister of Promoting the Production & Regulating the Supply of Organic Fertilizer, and Paddy & Grains, Organic Foods, Vegetables, Fruits, Chillies, Onion and Potato Cultivation Promoting, Seed Production and Advanced Technology Agriculture",National Fertilizer Secretariat
"State Minister of Promoting the Production & Regulating the Supply of Organic Fertilizer, and Paddy & Grains, Organic Foods, Vegetables, Fruits, Chillies, Onion and Potato Cultivation Promoting, Seed Production and Advanced Technology Agriculture",Ceylon Fertilizer Company Ltd.
"State Minister of Promoting the Production & Regulating the Supply of Organic Fertilizer, and Paddy & Grains, Organic Foods, Vegetables, Fruits, Chillies, Onion and Potato Cultivation Promoting, Seed Production and Advanced Technology Agriculture",Colombo Commercial Fertilizer Company
"State Minister of Promoting the Production & Regulating the Supply of Organic Fertilizer, and Paddy & Grains, Organic Foods, Vegetables, Fruits, Chillies, Onion and Potato Cultivation Promoting, Seed Production and Advanced Technology Agriculture",National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board)
