Presidential Secretariat - National Priority Programme,Presidential Task Force for the creation of a Green Sri Lanka with sustainable Solutions for climate Changes
Presidential Secretariat - National Priority Programme,Presidential Task Force for to make study of the exploitation of Geological Resources for Development priorities and self-employment and to meet smallish economic livelihood needs of those engaged in traditional vocations and the sources and methodologies of extraction of such resources
Presidential Secretariat - National Priority Programme,Presidential Task Force for National Deployment and Vaccination plan for COVID-19 Vaccine
Minister of Finance,Department of State Accounts
Bank Financial and Capital Market Policies and Regulatory Affairs,Insurance Regulatory Commission of Sri Lanka
Minister of Development Co-ordination and Monitoring,Department of Project Management and Monitoring
