Terminate,All
Minister of Defence,Office of the Chief of Defence Staff
Minister of Defence,Sri Lanka Army
Minister of Defence,Sri Lanka Navy
Minister of Defence,Sri Lanka Air Force
Minister of Defence,State Intelligence Service
Minister of Defence,Civil Security Department
Minister of Defence,National Cadet Corps
Minister of Defence,National Authority for the Implementation of Chemical Weapons Convention
Minister of Defence,Sir John Kotelawala Defence University
Minister of Defence,Defence Services Command and Staff College
Minister of Defence,Miloda Institute -as a Faculty of Kotelawala Defence University
Minister of Defence,Defence Services College
Minister of Defence,Defence Research and Development Centre
Minister of Defence,Institute of National Security Studies
Minister of Defence,National Defence College
Minister of Defence,Rakna Arakshana Lanka Ltd.
Minister of Defence,Coast Guard Department of Sri Lanka
Minister of Defence,National Defence Fund
Minister of Defence,Ranaviru Seva Authority
Minister of Defence,Api Wenuwen Api Fund
Minister of Defence,Department of Meteorology
Minister of Defence,National Disaster Management Council
Minister of Defence,Disaster Management Centre
Minister of Defence,National Disaster Relief Services Centre
Minister of Defence,National Building Research Organization
"Minister of Finance, Planning and Economic Development",General Treasury
"Minister of Finance, Planning and Economic Development",Department of National Planning
"Minister of Finance, Planning and Economic Development",Department of External Resources
"Minister of Finance, Planning and Economic Development",Department of Fiscal Policy
"Minister of Finance, Planning and Economic Development",Department of National Budget
"Minister of Finance, Planning and Economic Development",Department of Management Services
"Minister of Finance, Planning and Economic Development",Department of Public Finance
"Minister of Finance, Planning and Economic Development",Department of Treasury Operations
"Minister of Finance, Planning and Economic Development",Department of State Accounts
"Minister of Finance, Planning and Economic Development",Department of Trade and Investment Policy
"Minister of Finance, Planning and Economic Development",Department of Legal Affairs
"Minister of Finance, Planning and Economic Development",Department of Management Audit
"Minister of Finance, Planning and Economic Development",Department of Development Finance
"Minister of Finance, Planning and Economic Development",Department of Public Enterprises
"Minister of Finance, Planning and Economic Development",Office of Comptroller General
"Minister of Finance, Planning and Economic Development",Department of Project Management and Monitoring
"Minister of Finance, Planning and Economic Development",Department of Information Technology Management
"Minister of Finance, Planning and Economic Development",Department of Inland Revenue
"Minister of Finance, Planning and Economic Development",Sri Lanka Customs
"Minister of Finance, Planning and Economic Development",Department of Excise
"Minister of Finance, Planning and Economic Development",State Resources Management Corporation
"Minister of Finance, Planning and Economic Development",National Lotteries Board
"Minister of Finance, Planning and Economic Development",Development Lotteries Board
"Minister of Finance, Planning and Economic Development",Department of Valuation
"Minister of Finance, Planning and Economic Development",Department of Import and Export Control
"Minister of Finance, Planning and Economic Development",Central Bank of Sri Lanka
"Minister of Finance, Planning and Economic Development","All State Banks, Financial Institutions, Insurance Companies and their subsidiaries and related institutions"
"Minister of Finance, Planning and Economic Development",Insurance Regulatory Commission of Sri Lanka
"Minister of Finance, Planning and Economic Development",Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies
"Minister of Finance, Planning and Economic Development",Credit Information Bureau of Sri Lanka
"Minister of Finance, Planning and Economic Development",Securities and Exchange Commission of Sri Lanka
"Minister of Finance, Planning and Economic Development",Sri Lanka Accounting and Auditing Standard Monitoring Board
"Minister of Finance, Planning and Economic Development",Public Utilities Commission of Sri Lanka
"Minister of Finance, Planning and Economic Development",Sri Lanka Export Credit Insurance Corporation
"Minister of Finance, Planning and Economic Development",Housing Development Finance Corporation
"Minister of Finance, Planning and Economic Development",State Mortgage and Investment Bank
"Minister of Finance, Planning and Economic Development",Regional Development Bank
"Minister of Finance, Planning and Economic Development",Tax Appeals Commission
"Minister of Finance, Planning and Economic Development",Department of Census and Statistics
"Minister of Finance, Planning and Economic Development",Institute of Policy Studies
"Minister of Finance, Planning and Economic Development",Sustainable Development Council
"Minister of Finance, Planning and Economic Development",Public Service Mutual Provident Fund
"Minister of Finance, Planning and Economic Development","Strike, Riot, Civil Commotion and Terrorism Fund"
"Minister of Finance, Planning and Economic Development",National Insurance Trust Fund
"Minister of Finance, Planning and Economic Development",Employees’ Trust Fund
"Minister of Finance, Planning and Economic Development",Lady Lochore Fund
"Minister of Finance, Planning and Economic Development",Colombo Port City Economic Commission
"Minister of Finance, Planning and Economic Development",Public Debt Management Office
"Minister of Finance, Planning and Economic Development",Techno Park Development Company (Pvt) Limited
"Minister of Finance, Planning and Economic Development",Board of Investment of Sri Lanka
"Minister of Finance, Planning and Economic Development",National Credit Guarantee Institution Limited
"Minister of Finance, Planning and Economic Development",Sri Lankan Air Lines Limited and its subsidiaries
"Minister of Finance, Planning and Economic Development",Welfare Benefits Board
"Minister of Finance, Planning and Economic Development",Canwill Holdings (Pvt) Ltd
"Minister of Finance, Planning and Economic Development",Provident Property Lanka Ltd
"Minister of Finance, Planning and Economic Development",Asian Game (pvt) Ltd
"Minister of Finance, Planning and Economic Development",Commonwealth Game Hambantota (Pvt) Ltd
"Minister of Finance, Planning and Economic Development",Magampura Port Management Company (Pvt) Ltd
"Minister of Finance, Planning and Economic Development",Mihin Lanka (Pvt) Ltd
"Minister of Finance, Planning and Economic Development",Peliyagoda warehouse
"Minister of Finance, Planning and Economic Development",Strategic Enterprises Management Agency
"Minister of Finance, Planning and Economic Development",Lanka Fabric Ltd
Minister of Energy,Ceylon Electricity Board and its subsidiary Companies
Minister of Energy,Ceylon Electricity Company
Minister of Energy,Lanka Coal Company (Pvt) Ltd
Minister of Energy,LTL Holdings (Pvt.) Ltd.
Minister of Energy,Ceylon Petroleum Corporation
Minister of Energy,Ceylon Petroleum Storage Terminal Ltd.
Minister of Energy,Petroleum Development Authority of Sri Lanka
Minister of Energy,Polipto Lanka (Pvt) Ltd
Minister of Energy,Sri Lanka Sustainable Energy Authority
Minister of Energy,Sri Lanka Atomic Energy Board
Minister of Energy,Sri Lanka Atomic Energy Regulatory Council
Minister of Energy,Trinco Petroleum Terminal (Pvt) Ltd
"Minister of Agriculture, Livestock, Land, and Irrigation",Department of Agriculture
"Minister of Agriculture, Livestock, Land, and Irrigation",Department of Agrarian Development
"Minister of Agriculture, Livestock, Land, and Irrigation",Agriculture and Agrarian Insurance Board
"Minister of Agriculture, Livestock, Land, and Irrigation",Paddy Marketing Board
"Minister of Agriculture, Livestock, Land, and Irrigation",Hector Kobbekaduwa Agrarian Research and Training Institute
"Minister of Agriculture, Livestock, Land, and Irrigation",Sri Lanka Council for Agricultural Research Policy
"Minister of Agriculture, Livestock, Land, and Irrigation",National Agricultural Diversification and Settlement Authority
"Minister of Agriculture, Livestock, Land, and Irrigation",National Fertilizer Secretariat
"Minister of Agriculture, Livestock, Land, and Irrigation",State Fertilizer Company Ltd.
"Minister of Agriculture, Livestock, Land, and Irrigation",National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board)
"Minister of Agriculture, Livestock, Land, and Irrigation",National Institute of Post-Harvest Management
"Minister of Agriculture, Livestock, Land, and Irrigation",Department of Animal Production and Health
"Minister of Agriculture, Livestock, Land, and Irrigation",National Livestock Development Board and affiliated companies
"Minister of Agriculture, Livestock, Land, and Irrigation",Milco (Pvt.) Ltd
"Minister of Agriculture, Livestock, Land, and Irrigation",Mahaweli Livestock Enterprise Limited
"Minister of Agriculture, Livestock, Land, and Irrigation",Department of Land Commissioner General
"Minister of Agriculture, Livestock, Land, and Irrigation",Department of Land Use Policy Planning
"Minister of Agriculture, Livestock, Land, and Irrigation",Department of Land Title Settlement
"Minister of Agriculture, Livestock, Land, and Irrigation",Land Reform Commission
"Minister of Agriculture, Livestock, Land, and Irrigation",Survey Department of Sri Lanka
"Minister of Agriculture, Livestock, Land, and Irrigation",Institute of Surveying and Mapping
"Minister of Agriculture, Livestock, Land, and Irrigation",Land Survey Council
"Minister of Agriculture, Livestock, Land, and Irrigation",Land Acquisition Board of Review
"Minister of Agriculture, Livestock, Land, and Irrigation",Department of Irrigation
"Minister of Agriculture, Livestock, Land, and Irrigation","Major irrigation development projects including Uma Oya, Moragahakanda, Kalu Ganga, Gin Ganga, Nilwala, Malwathu Oya"
"Minister of Agriculture, Livestock, Land, and Irrigation",Central Engineering Consultancy Bureau and its subsidiaries and affiliated companies
"Minister of Agriculture, Livestock, Land, and Irrigation",Sri Lanka Mahaweli Authority
"Minister of Agriculture, Livestock, Land, and Irrigation",Mahaweli Consultancy Bureau (Pvt) Ltd
"Minister of Agriculture, Livestock, Land, and Irrigation",Department of Export Agriculture
Minister of Justice and National Integration,Attorney General's Department
Minister of Justice and National Integration,Legal Draftsman's Department
Minister of Justice and National Integration,Department of Debt Conciliation Board
Minister of Justice and National Integration,Department of Government Analyst
Minister of Justice and National Integration,Office of the Registrar of the Supreme Court
Minister of Justice and National Integration,Law Commission of Sri Lanka
Minister of Justice and National Integration,Superior Courts Complex Board of Management
Minister of Justice and National Integration,Legal Aid Commission of Sri Lanka
Minister of Justice and National Integration,Mediation Boards Commission
Minister of Justice and National Integration,Council of Legal Education
Minister of Justice and National Integration,Commercial Mediation Centre of Sri Lanka
Minister of Justice and National Integration,Sri Lanka International Arbitration Centre (Guarantee) Ltd
Minister of Justice and National Integration,National Authority for the Protection of Victims of Crime and Witnesses
Minister of Justice and National Integration,Department of Prisons
Minister of Justice and National Integration,Community Based Correction Department
Minister of Justice and National Integration,Training Schools for Youthful Offenders
Minister of Justice and National Integration,Rehabilitation Commissioner General's Office
Minister of Justice and National Integration,Department of Official Languages
Minister of Justice and National Integration,Official Languages Commission
Minister of Justice and National Integration,National Institute of Language Education and Training
Minister of Justice and National Integration,Office for National Unity and Reconciliation
Minister of Justice and National Integration,Office on Missing Persons
Minister of Justice and National Integration,Office for Reparations
Minister of Justice and National Integration,Sri Lanka Judges Institute
Minister of Justice and National Integration,Non Judicial Officers Training Institute
Minister of Justice and National Integration,Rehabilitation Commissioner General's Office
"Minister of Education, Higher Education and Vocational Education",Department of Examinations
"Minister of Education, Higher Education and Vocational Education",Department of Educational Publications
"Minister of Education, Higher Education and Vocational Education",National Colleges of Education
"Minister of Education, Higher Education and Vocational Education",Teachers' College
"Minister of Education, Higher Education and Vocational Education",UNESCO National Commission of Sri Lanka
"Minister of Education, Higher Education and Vocational Education",Sri Lanka Publication Development Board
"Minister of Education, Higher Education and Vocational Education",State Printing Corporation
"Minister of Education, Higher Education and Vocational Education",Directorates of Education
"Minister of Education, Higher Education and Vocational Education",National Education Commission
"Minister of Education, Higher Education and Vocational Education",National Institute of Education
"Minister of Education, Higher Education and Vocational Education",Piriven Education Board
"Minister of Education, Higher Education and Vocational Education",National Institute of Business Management and affiliated institutions
"Minister of Education, Higher Education and Vocational Education",Skills Development Fund Ltd
"Minister of Education, Higher Education and Vocational Education",University of Vocational Technology
"Minister of Education, Higher Education and Vocational Education",National Institute of Fisheries and Nautical Engineering (Ocean University)
"Minister of Education, Higher Education and Vocational Education",Vocational Training Authority of Sri Lanka
"Minister of Education, Higher Education and Vocational Education",National Apprenticeship and Industrial Training Authority
"Minister of Education, Higher Education and Vocational Education",Ceylon German Technical Training Institute
"Minister of Education, Higher Education and Vocational Education",Department of Technical Education and Training
"Minister of Education, Higher Education and Vocational Education",Tertiary and Vocational Education Commission
"Minister of Education, Higher Education and Vocational Education",University Grants Commission
"Minister of Education, Higher Education and Vocational Education","All State Universities, Postgraduate Institutions and other Institutions under the purview of University Grants Commission"
"Minister of Education, Higher Education and Vocational Education",Buddhasravaka Bhikku University
"Minister of Education, Higher Education and Vocational Education",Buddhist and Pali University of Sri Lanka
"Minister of Education, Higher Education and Vocational Education",Sri Lanka Institute of Advanced Technological Education
"Minister of Education, Higher Education and Vocational Education",South Asian Centre for Teacher Development (SACTD)
Minister of Women and Child Affairs,National Committee on Women
Minister of Women and Child Affairs,Sri Lanka Women's Bureau
Minister of Women and Child Affairs,Department of Probation and Childcare Services
Minister of Women and Child Affairs,National Child Protection Authority
Minister of Women and Child Affairs,National Secretariat for Early Childhood Development
Minister of Women and Child Affairs,Protection of Children National Trust Fund
"Minister of Trade, Commerce, Food Security and Co-operative Development",Department of Commerce
"Minister of Trade, Commerce, Food Security and Co-operative Development",Lanka Sathosa Ltd.
"Minister of Trade, Commerce, Food Security and Co-operative Development",Co-operative Wholesale Establishment
"Minister of Trade, Commerce, Food Security and Co-operative Development",Mahapola Trust Fund
"Minister of Trade, Commerce, Food Security and Co-operative Development",Sri Lanka Accreditation Board for Conformity Assessment
"Minister of Trade, Commerce, Food Security and Co-operative Development","Department of Measurement Units, Standards and Services"
"Minister of Trade, Commerce, Food Security and Co-operative Development",Regional Economic Centers
"Minister of Trade, Commerce, Food Security and Co-operative Development",National Intellectual Property Office of Sri Lanka
"Minister of Trade, Commerce, Food Security and Co-operative Development",Consumer Affairs Authority
"Minister of Trade, Commerce, Food Security and Co-operative Development",Department of Co-operative Development (Registrar of Co-operative Societies)
"Minister of Trade, Commerce, Food Security and Co-operative Development",Co-operative Employees Commission
"Minister of Trade, Commerce, Food Security and Co-operative Development",National Institute of Co-operative Development
"Minister of Trade, Commerce, Food Security and Co-operative Development",Sri Lanka State Trading Corporation
"Minister of Trade, Commerce, Food Security and Co-operative Development",Food Commissioner's Department
"Minister of Trade, Commerce, Food Security and Co-operative Development",State Trading Co-operative Wholesale Co. Ltd
"Minister of Trade, Commerce, Food Security and Co-operative Development",Department of the Registrar of Companies
"Minister of Trade, Commerce, Food Security and Co-operative Development",Lanka General Trading Company Ltd
Minister of Health and Mass Media,National Health Council
Minister of Health and Mass Media,Medical Research Institute
Minister of Health and Mass Media,National Institute of Health Sciences
Minister of Health and Mass Media,Sri Lanka Medical Council
Minister of Health and Mass Media,Sri Lanka Medical College Council
Minister of Health and Mass Media,Private Health Services Regulatory Council
Minister of Health and Mass Media,Department of Health Services
Minister of Health and Mass Media,Sri Lanka Thriphosa Co. Ltd.
Minister of Health and Mass Media,"All National, Teaching and Specific Government Hospitals"
Minister of Health and Mass Media,School of Medical Laboratory Technology
Minister of Health and Mass Media,"National Institute of Nephrology, Dialysis and Transplantation"
Minister of Health and Mass Media,Sri Jayewardenepura General Hospital
Minister of Health and Mass Media,Vijaya Kumaratunga Memorial Hospital
Minister of Health and Mass Media,Ashraff Memorial Hospital
Minister of Health and Mass Media,National Authority on Tobacco and Alcohol
Minister of Health and Mass Media,1990 Suwaseriya Foundation
Minister of Health and Mass Media,National Health Development Fund
Minister of Health and Mass Media,State Pharmaceutical Corporation
Minister of Health and Mass Media,State Pharmaceutical Manufacturing Corporation
Minister of Health and Mass Media,National Medicines Regulatory Authority
Minister of Health and Mass Media,Department of Ayurveda
Minister of Health and Mass Media,Sri Lanka Ayurvedic Drugs Corporation
Minister of Health and Mass Media,Ayurvedic Medical Council
Minister of Health and Mass Media,Ayurvedic College and Hospital Board
Minister of Health and Mass Media,Ayurveda Teaching and Research Hospitals
Minister of Health and Mass Media,"Homeopathy Hospital, Welisara"
Minister of Health and Mass Media,Homeopathy MedicalCouncil
Minister of Health and Mass Media,Right to Information Commission
Minister of Health and Mass Media,Online Safety Commission
Minister of Health and Mass Media,Department of Government Printing
Minister of Health and Mass Media,Department of Government Information
Minister of Health and Mass Media,Sri Lanka Press Council
Minister of Health and Mass Media,Sri Lanka Broadcasting Corporation
Minister of Health and Mass Media,Independent Television Network
Minister of Health and Mass Media,Sri Lanka Rupavahini Corporation
Minister of Health and Mass Media,Associated Newspapers of Ceylon Ltd.
Minister of Health and Mass Media,Lanka Puwath Ltd
Minister of Health and Mass Media,Sri Lanka Foundation
Minister of Health and Mass Media,Postal Department
Minister of Health and Mass Media,Sri Lanka Institute of Printing
Minister of Health and Mass Media,Sri Lanka Media Training Institute
"Minister of Buddhasassana, Religious and Cultural Affairs",Department of Buddhist Affairs
"Minister of Buddhasassana, Religious and Cultural Affairs",Department of Hindu Religious and Cultural Affairs
"Minister of Buddhasassana, Religious and Cultural Affairs",Department of Christian Religious Affairs
"Minister of Buddhasassana, Religious and Cultural Affairs",Department of Muslim Religious and Cultural Affairs
"Minister of Buddhasassana, Religious and Cultural Affairs",Department of National Museums
"Minister of Buddhasassana, Religious and Cultural Affairs",Department of National Archives
"Minister of Buddhasassana, Religious and Cultural Affairs",Department of Public Trustee
"Minister of Buddhasassana, Religious and Cultural Affairs",Central Cultural Fund
"Minister of Buddhasassana, Religious and Cultural Affairs",Buddha Sasana Fund
"Minister of Buddhasassana, Religious and Cultural Affairs",Buddhist Renaissance Fund
"Minister of Buddhasassana, Religious and Cultural Affairs",Department of Cultural Affairs
"Minister of Buddhasassana, Religious and Cultural Affairs",Department of Archaeology
"Minister of Buddhasassana, Religious and Cultural Affairs",Tower Hall Theatre Foundation
"Minister of Buddhasassana, Religious and Cultural Affairs",National Arts Council
"Minister of Buddhasassana, Religious and Cultural Affairs",Gramodaya Folk Arts Centre
"Minister of Buddhasassana, Religious and Cultural Affairs",Galle Heritage Foundation
