"Ministry of City Planning, Water Supply and Higher Education",National Water Supply and Drainage Board (NWS&DB)
"Ministry of City Planning, Water Supply and Higher Education",Department of National Community Water Supply
"Ministry of City Planning, Water Supply and Higher Education",University Grants Commission
"Ministry of City Planning, Water Supply and Higher Education",All State Universities under the purview of University Grants Commission
"Ministry of City Planning, Water Supply and Higher Education",All Postgraduate Institutions and other Institutions under the purview of the University Grants Commission
"Ministry of City Planning, Water Supply and Higher Education",Sri Lanka Institute of Advanced Technological Education
"Ministry of City Planning, Water Supply and Higher Education",Mahapola Higher Education Scholarship Trust Fund
"Ministry of City Planning, Water Supply and Higher Education",Buddhasravaka Bhiksu University
"Ministry of City Planning, Water Supply and Higher Education",Buddhist and Pali University
Ministry of Education,Department of Examination
Ministry of Education,Department of Educational Publications
Ministry of Education,National Institute of Education
Ministry of Education,Sri Lanka Publication Development Bureau
Ministry of Education,National Library and Documentation Services Board
Ministry of Education,Directorates of Education
Ministry of Education,National Authority on Teachers Education
Ministry of Education,Colleges of Education
Ministry of Education,Teacher's Colleges
Ministry of Education,UNESCO National Commission of Sri Lanka
Ministry of Education,Piriven Education Board
Ministry of Education,State Printing Corporation
