Ministry of Economic Development,Department of Divineguma Development
Ministry of Economic Development,Department of Agrarian Development
Ministry of Economic Development,Sri Lanka Tourism Promotion Bureau
Ministry of Economic Development,Sri Lanka Tourism Development Authority
Ministry of Economic Development,Sri Lanka Convention Bureau
Ministry of Economic Development,Sri Lanka Institute of Tourism and Hotel Management
Ministry of Economic Development,Rural Development Training and Research Institute
Ministry of Economic Development,Department of Commissioner General of Samurdhi
Ministry of Economic Development,Department of Up Country Peasantry Rehabilitation
Ministry of Economic Development,Samurdhi Authority of Sri Lanka
Ministry of Economic Development,Southern Development Authority and its Subsidiaries
Ministry of Economic Development,Udarata Development Authority
Ministry of Agriculture,Department of Agriculture
Ministry of Agriculture,National Agricultural Diversification and Settlement Authority (Hadabima)
Ministry of Agriculture,Sri Lanka National Freedom from Hunger Campaign Board
Ministry of Agriculture,Pulses and Grain Research and Production Authority
Ministry of Agriculture,Hector Kobbekaduwa Agrarian Research and Training Institute
Ministry of Agriculture,Sri Lanka Council for Agricultural Research Policy
Ministry of Agriculture,Institute of Post Harvest Technology
Ministry of Agriculture,Ceylon Fertilizer Company Ltd.
Ministry of Agriculture,Colombo Commercial Fertilizer Company
Ministry of Agriculture,National Fertilizer Secretariat
Ministry of Agriculture,Janatha Fertilizer Enterprises Ltd.
