"Ministry of National Integration & Reconciliation->Ministry of National Integration, Reconciliation and Official Languages",Department of Official Languages
"Ministry of National Integration, Reconciliation and Official Languages",Official Languages Commission
"Ministry of National Integration, Reconciliation and Official Languages",National Institute of Language Education and Training
"Ministry of National Integration, Reconciliation and Official Languages",Secretariat for Non-Governmental Organization
Ministry of National Policies & Economic Affairs,Department of National Planning
Ministry of National Policies & Economic Affairs,Department of External Resources
Ministry of National Policies & Economic Affairs,Department of Census and Statistics
Ministry of National Policies & Economic Affairs,Institute of Policy Studies
Ministry of National Policies & Economic Affairs,Public Utilities Commission of Sri Lanka
Ministry of National Policies & Economic Affairs,National Human Resources Development Council
Ministry of National Policies & Economic Affairs,Department of Food Commissioner
Ministry of National Policies & Economic Affairs,Insurance Corporation of Sri Lanka and its subsidiaries and associated companies excluding Litro Gas Lanka Ltd
Terminate,Ministry of Sustainable Development & Wildlife
"Ministry of Social Empowerment, Welfare & Kandyan Heritage->Ministry of Social Empowerment",National Institute of Social Development
Ministry of Social Empowerment,Department of Divineguma Development
Ministry of Social Empowerment,Rural Development Training and Research Institute
Ministry of Social Empowerment,Social Security Board
"Ministry of Labour, Trade Union Relations & Sabaragamuwa Development->Ministry of Labour & Trade Union Relations",Department of Labour
Ministry of Labour & Trade Union Relations,National Institute of Labour Studies
Ministry of Labour & Trade Union Relations,Employees’ Provident Fund
Ministry of Labour & Trade Union Relations,National Institute for Occupational Safety and Health
Ministry of Labour & Trade Union Relations,Office of the Commissioner of Workmen’s Compensation
Ministry of Labour & Trade Union Relations,Shrama Vasana Fund
Ministry of Labour & Trade Union Relations,Department of Manpower and Employment
Ministry of Labour & Trade Union Relations,Sri Lanka Job Net Ltd.
Ministry of Labour & Trade Union Relations,Employees Trust Fund
Ministry of Higher Education & Highways->Ministry of Highways & Road Development,Road Development Authority and its Subsidiaries and Associates
Ministry of Highways & Road Development,Road Maintenance Trust Fund
"Ministry of Science, Technology & Research->Ministry of Science, Technology, Research, Skills Development & Vocational Training and Kandyan Heritage",Sri Lanka Institute of Nanotechnology (Pvt.) Ltd.
"Ministry of Science, Technology, Research, Skills Development & Vocational Training and Kandyan Heritage",National Institute of Fundamental Studies
"Ministry of Science, Technology, Research, Skills Development & Vocational Training and Kandyan Heritage",National Science Foundation
"Ministry of Science, Technology, Research, Skills Development & Vocational Training and Kandyan Heritage",National Science and Technology Commission
"Ministry of Science, Technology, Research, Skills Development & Vocational Training and Kandyan Heritage",Planetarium
"Ministry of Science, Technology, Research, Skills Development & Vocational Training and Kandyan Heritage",Arthur C. Clarke Centre for Modern Technology
