Ministry of Higher Education & Highways,University Grants Commission
Ministry of Higher Education & Highways,All Universities under the purview of University Grants Commission
Ministry of Higher Education & Highways,All Postgraduate Institutions and other Institutions under the purview of the University Grants Commission
Ministry of Higher Education & Highways,Buddhasravaka Bhiksu University
Ministry of Higher Education & Highways,Buddhist and Pali University
Ministry of Higher Education & Highways,Road Development Authority and its Subsidiaries and Associates
Ministry of Higher Education & Highways,Road Maintenance Trust Fund
Ministry of Higher Education & Highways,Sri Lanka Institute of Advanced Technological Education
