Ministry of Defence,Sri Lanka Army/ Air Force
Ministry of Defence,Sri Lanka Navy/ Air Force
Ministry of Defence,Sri Lanka Air Force
Ministry of Defence,Department of Civil Security
Ministry of Defence,Sir John Kotalawala Defence University
Ministry of Defence,Defence Services Command and Staff College
Ministry of Defence,Ranaviru Seva Authority
Ministry of Defence,Defence Services School
Ministry of Defence,National Cadet Corps
Ministry of Defence,National Defence Fund
Ministry of Defence,State Intelligence Service
Ministry of Defence,Coast Guard Department of Sri Lanka
Ministry of Defence,Lanka Logistics Limited
Ministry of Defence,Rakna Arakshana Lanka Ltd.
Ministry of Mahaweli Development & Environment,Mahaweli Authority of Sri Lanka and its Subsidiary Companies and Associates (except Mahaweli Livestock Enterprise Company Ltd.)
Ministry of Mahaweli Development & Environment,Central Engineering Consultancy Bureau (CECB)
Ministry of Mahaweli Development & Environment,Moragahakanda & Kalu Ganga Reservoir Project
Ministry of Mahaweli Development & Environment,Dam Safety & Water Resources Planning Project
Ministry of Mahaweli Development & Environment,Mahaweli Consolidation Project (System B Rehabilitation)
Ministry of Mahaweli Development & Environment,Udawalawe Left Bank Project
Ministry of Mahaweli Development & Environment,Uma Oya Development Project
Ministry of Mahaweli Development & Environment,Department of Forests
Ministry of Mahaweli Development & Environment,Central Environmental Authority
Ministry of Mahaweli Development & Environment,Geological Survey and Mines Bureau
Ministry of Mahaweli Development & Environment,GSMB Technical Services (Pvt) Ltd.
Ministry of Mahaweli Development & Environment,State Timber Corporation
Ministry of Mahaweli Development & Environment,Marine Environment Protection Authority
Ministry of Mahaweli Development & Environment,National Gem and Jewellery Authority
Ministry of Mahaweli Development & Environment,Gem and Jewellery Research Institute
Ministry of Mahaweli Development & Environment,Lanka Timber Plant and Industries
Ministry of Mahaweli Development & Environment,Coast Conservation Department
"Ministry of Policy Planning, Economic Affairs, Child, Youth & Cultural Affairs",Department of National Planning
"Ministry of Policy Planning, Economic Affairs, Child, Youth & Cultural Affairs",Department of External Resources
"Ministry of Policy Planning, Economic Affairs, Child, Youth & Cultural Affairs",Department of Census and Statistics
"Ministry of Policy Planning, Economic Affairs, Child, Youth & Cultural Affairs",Department of National Physical Planning
"Ministry of Policy Planning, Economic Affairs, Child, Youth & Cultural Affairs",Institute of Policy Studies
"Ministry of Policy Planning, Economic Affairs, Child, Youth & Cultural Affairs",National Operations Room
"Ministry of Policy Planning, Economic Affairs, Child, Youth & Cultural Affairs",Central Bank of Sri Lanka
"Ministry of Policy Planning, Economic Affairs, Child, Youth & Cultural Affairs",Securities and Exchang Commission
"Ministry of Policy Planning, Economic Affairs, Child, Youth & Cultural Affairs",Public Utilities Commission of Sri Lanka
"Ministry of Policy Planning, Economic Affairs, Child, Youth & Cultural Affairs",Credit Information Bureau
"Ministry of Policy Planning, Economic Affairs, Child, Youth & Cultural Affairs",Employees Trust Fund
"Ministry of Policy Planning, Economic Affairs, Child, Youth & Cultural Affairs",National Insurance Trust Fund
"Ministry of Policy Planning, Economic Affairs, Child, Youth & Cultural Affairs",Rural Resuscitation Fund
"Ministry of Policy Planning, Economic Affairs, Child, Youth & Cultural Affairs",Rural Economic Resuscitation Fund (Finance)
"Ministry of Policy Planning, Economic Affairs, Child, Youth & Cultural Affairs",Janadiriya Fund (Gramodaya Mandala Fund)
"Ministry of Policy Planning, Economic Affairs, Child, Youth & Cultural Affairs",Secretariat for Non-Governmental Organizations
