Ministry of Defense,Sri Lanka Army
Ministry of Defense,Sri Lanka Navy
Ministry of Defense,Sri Lanka Air Force
Ministry of Defense,Department of Immigration and Emigration
Ministry of Defense,Department of Registration of Persons
Ministry of Defense,Department of Police
Ministry of Defense,Department of Civil Security
Ministry of Defense,Sir John Kotalawala Defence University
Ministry of Defense,Defence Services Command and Staff College
Ministry of Defense,Ranaviru Seva Authority
Ministry of Defense,Defence Services School
Ministry of Defense,Lanka Logistics Limited
Ministry of Defense,National Dangerous Drugs Control Board
Ministry of Defense,Secretariat for Non- Governmental Organizations
Ministry of Defense,Rakna Arakshana Lanka Ltd
Ministry of Defense,National Cadet Corps
Ministry of Defense,National Defence Fund
Ministry of Defense,State Intelligence Service
Ministry of Defense,Urban Development Authority
Ministry of Defense,Sri Lanka Land Reclamation and Development Corporation
Ministry of Defense,Coast Guard Department of Sri Lanka
Ministry of Finance,General Treasury
Ministry of Finance,Department of National Planning
Ministry of Finance,Department of Fiscal Policy
Ministry of Finance,Department of External Resources
Ministry of Finance,Department of National Budget
Ministry of Finance,Department of Public Enterprises
Ministry of Finance,Department of Management Services
Ministry of Finance,Department of Development Finance
Ministry of Finance,"Department of Trade, Tariff and Investment Policy"
Ministry of Finance,Department of Public Finance
Ministry of Finance,Department of Legal Affairs
Ministry of Finance,Department of Inland Revenue
Ministry of Finance,Sri Lanka Customs
Ministry of Finance,Department of Excise
Ministry of Finance,Department of Import and Export
Ministry of Finance,Department of Treasury Operations
Ministry of Finance,Department of State Accounts
Ministry of Finance,Department of Valuation
Ministry of Finance,Department of Census and Statistics
Ministry of Finance,Department of Management Audit
Ministry of Finance,Department of Foreign Aid and Budget Monitoring
Ministry of Finance,National Operations Room
Ministry of Finance,Sri Lanka Accounting and Auditing Standards Monitoring Board
Ministry of Finance,Institute of Government Accounts and Finance
Ministry of Finance,Central Bank of Sri Lanka
Ministry of Finance,Securities and Exchange Commission
Ministry of Finance,Insurance Board of Sri Lanka
Ministry of Finance,Public Utilities Commission of Sri Lanka
Ministry of Finance,Credit Information Bureau
Ministry of Finance,Employees Trust Fund
Ministry of Finance,National Insurance Trust Fund
Ministry of Finance,National Development Trust Fund
Ministry of Finance,National Lotteries Board
Ministry of Finance,Development Lotteries Board
Ministry of Finance,All State Banks and their Subsidiaries and Associates etc
Ministry of Finance,Sri Lanka Insurance Corporation and its Subsidiaries and Associates
Ministry of Finance,Agriculture and Agrarian Insurance Board
Ministry of Finance,Sri Lanka Export Credit Insurance Corporation
Ministry of Finance,Lady Lochore Fund
Ministry of Finance,Social Security Board
Ministry of Finance,"Strike, Riot, Civil Commotion and Terrorism Fund"
Ministry of Finance,Local Loans and Development Fund
Ministry of Finance,Rural Resuscitation Fund
Ministry of Finance,Rural Economic Resuscitation Fund (Finance)
Ministry of Finance,Jana Diriya Fund (Gramodaya Mandala Fund)
Ministry of Highways,Road DevelopmentAuthority and its Subsidiaries and Associates
Ministry of Highways,Road Development Fund
Ministry of Ports and Aviation,Civil Aviation Authority
Ministry of Ports and Aviation,Sri Lanka Ports Authority and its Subsidiaries and Associates
Ministry of Ports and Aviation,Central Freight Bureau
Ministry of Ports and Aviation,Ceylon Shipping Corporation Ltd and its Subsidiaries and Associates
Ministry of Ports and Aviation,Director General’s Office of Merchants Shipping
Ministry of Ports and Aviation,Department of Coast Conservation
Ministry of Ports and Aviation,Airport and Aviation Services (Sri Lanka) Ltd
Ministry of Ports and Aviation,Sri Lanka Airlines Ltd and its Subsidiaries
Ministry of Ports and Aviation,Mihin Lanka (Pvt) Ltd
Ministry of Buddha Sasana & Religious Affairs,Department of Buddhist Affairs
Ministry of Buddha Sasana & Religious Affairs,Department of Muslim Religious and Cultural Affairs
Ministry of Buddha Sasana & Religious Affairs,Department of Christian Religious Affairs
Ministry of Buddha Sasana & Religious Affairs,Department of Hindu Religious and Cultural Affairs
Ministry of Buddha Sasana & Religious Affairs,Department of Public Trustee
Ministry of Irrigation & Water Resources Management,Department of Irrigation
Ministry of Irrigation & Water Resources Management,Mahaweli Authority of Sri Lanka and its Subsidiary Companies and Associates (except Mahaweli Livestock Enterprise Company Ltd)
Ministry of Irrigation & Water Resources Management,Central Engineering Consultancy Bureau (CECB)
Ministry of Irrigation & Water Resources Management,Mahaweli Irrigation Development Programme
Ministry of Irrigation & Water Resources Management,Water Resources Board
Ministry of Health,Department of Health Services
Ministry of Health,Sri Jayewardanapura General Hospital
Ministry of Health,"Vijaya Kumaranatunga Memorial Hospital, Seeduwa"
Ministry of Health,National Authority on Tobacco and Alcohol
Ministry of Health,State Pharmaceutical Corporation
Ministry of Health,State Pharmaceutical Manufacturing Corporation
Ministry of Health,"All National, Teaching and Specified Government Hospitals"
Ministry of Health,National Health Council
Ministry of Health,Medical Research Institute
Ministry of Health,National Institute of Health Science
Ministry of Health,Ashraff Memorial Hospital
Ministry of Health,School of Medical Laboratory Technology
Ministry of Health,Sri Lanka Medical Council
Ministry of Health,Sri Lanka Medical College Council
Ministry of Health,National Health Development Fund
Ministry of Health,Private Medical Institute Council
Ministry of Petroleum Industries,Ceylon Petroleum Corporation
Ministry of Petroleum Industries,Ceylon Petroleum Storage Terminal Ltd
Ministry of Livestock and Rural Community Development,Department of Animal Production and Health
Ministry of Livestock and Rural Community Development,National Livestock Development Board
Ministry of Livestock and Rural Community Development,Sri Lanka - Libya Agriculture andLivestock Development Company
Ministry of Livestock and Rural Community Development,Kiriya/Milk Industries of Lanka (Pvt) Ltd
Ministry of Livestock and Rural Community Development,Milk Industries of Lanka Company
Ministry of Livestock and Rural Community Development,Mahaweli Livestock Enterprise Company Ltd
Ministry of Livestock and Rural Community Development,Thondaman Foundation
Ministry of Livestock and Rural Community Development,Rural Community Development (Youth Empowerment Project)
Ministry of Livestock and Rural Community Development,Plantation Housing Development Trust
Ministry of Livestock and Rural Community Development,Estate Sector Self-employment Revolving Fund
Ministry of Water Supply & Drainage,National Water Supply and Drainage Board (NWS&DB)
Ministry of Traditional Industries & Small Enterprises Development,National Design Center
Ministry of Traditional Industries & Small Enterprises Development,National Craft Council
Ministry of Traditional Industries & Small Enterprises Development,Industrial Development Board
Ministry of Traditional Industries & Small Enterprises Development,SME Venture Capital Company
Ministry of Traditional Industries & Small Enterprises Development,SME Authority
Ministry of Traditional Industries & Small Enterprises Development,Palmyrah Development Board
Ministry of Traditional Industries & Small Enterprises Development,Elephant Pass Saltern
Ministry of Traditional Industries & Small Enterprises Development,North Sea Ltd.
Ministry of Local Government & Provincial Councils,Sri Lanka Institute of Local Governance
Ministry of Industry and Commerce,Department of Commerce
Ministry of Industry and Commerce,Registrar of Companies
Ministry of Industry and Commerce,National Intellectual Property Office of Sri Lanka
Ministry of Industry and Commerce,Sri Lanka Export Development Board
Ministry of Industry and Commerce,National Enterprise Development Authority
Ministry of Industry and Commerce,Clothing Industry Training Institute
Ministry of Industry and Commerce,Sri Lanka Institute of Textile and Apparel
Ministry of Industry and Commerce,Textile Quota Board (to be wound up)
Ministry of Industry and Commerce,Textile Training Service Centre
Ministry of Industry and Commerce,Bogala Graphite Lanka Ltd
Ministry of Industry and Commerce,Kahatagaha Graphite
Ministry of Industry and Commerce,Lanka Leyland Ltd
Ministry of Industry and Commerce,Lanka Textile Mills Emporium Ltd
Ministry of Industry and Commerce,Department of Textile Industries
Ministry of Industry and Commerce,Thulhiriya Textile Mills Ltd
Ministry of Industry and Commerce,Lanka Ashok Leyland Ltd
Ministry of Industry and Commerce,Mantai Salt Ltd
Ministry of Power and Energy,Sri Lanka Sustainable Energy Authority
Ministry of Power and Energy,Ceylon Electricity Board
Ministry of Power and Energy,Atomic Energy Authority
Ministry of Power and Energy,Lanka Electricity Company
Ministry of Power and Energy,Lanka Coal Company (Pvt) Ltd
Ministry of Power and Energy,LTL Holding (Pvt) Ltd
"Ministry of Construction, Engineering Services, Housing & Common Amenities",Department of Buildings
"Ministry of Construction, Engineering Services, Housing & Common Amenities",Government Factory
"Ministry of Construction, Engineering Services, Housing & Common Amenities",Department of National Physical Planning
"Ministry of Construction, Engineering Services, Housing & Common Amenities","Institute of Construction, Training and Development"
"Ministry of Construction, Engineering Services, Housing & Common Amenities",State Engineering Corporation
"Ministry of Construction, Engineering Services, Housing & Common Amenities",State Development and Construction Corporation
"Ministry of Construction, Engineering Services, Housing & Common Amenities",Condominium Management Authority (Common Amenities Board)
"Ministry of Construction, Engineering Services, Housing & Common Amenities",National Housing Development Authority (NHDA) Devco Showa (Pvt.) Ltd.
"Ministry of Construction, Engineering Services, Housing & Common Amenities",Devco Showa (Pvt.) Ltd.
"Ministry of Construction, Engineering Services, Housing & Common Amenities",Centre for Housing Planning and Building National Equipment and Machinery Organization
"Ministry of Construction, Engineering Services, Housing & Common Amenities",National Equipment and Machinery Organization
"Ministry of Construction, Engineering Services, Housing & Common Amenities",Urban Settlement Development Authority
Ministry of Justice,Department of Debt Conciliation Board
Ministry of Justice,Department of Governmen Analyst
Ministry of Justice,Registrar of Supreme Court
Ministry of Justice,Law Commission of Sri Lanka
Ministry of Justice,Superior Courts Complex Board of Management
Ministry of Justice,Legal Aid Commission of Sri Lankqa
Ministry of Justice,Mediation Boards Commission
Ministry of Economic Development,Department of Zoological Garden
Ministry of Economic Development,Department of National Botanical Garden
Ministry of Economic Development,Department of Commissioner General of Samurdhi
Ministry of Economic Development,Department of Up-Country Peasantry Rehabilitation
Ministry of Economic Development,Department of Wild Life Conservation
Ministry of Economic Development,Board of Investment of Sri Lanka
Ministry of Economic Development,Sri Lanka Tourism Promotion Bureau
Ministry of Economic Development,Sri Lanka Tourism Development Authority
Ministry of Economic Development,Sri Lanka Convention Bureau
Ministry of Economic Development,Sri Lanka Institute of Tourism and Hotel Management
Ministry of Economic Development,Samurdhi Authority of Sri Lanka
Ministry of Economic Development,Southern Development Authority and its Subsidiaries
Ministry of Economic Development,Uda Rata DevelopmentAuthority
Ministry of Economic Development,All Regional Development Programmes (Including District Development Programmes)
Ministry of National Languages & Social Integration,Department of Official Languages
Ministry of National Languages & Social Integration,Official Languages Commission
Ministry of National Languages & Social Integration,National Institute of Language Education Training
Ministry of Higher Education,University Grants Commission
Ministry of Higher Education,All Universities coming under the purview of the University Grants Commission
Ministry of Higher Education,All Postgraduate Institutions and other Institutions coming under the purview of the University Grants Commission
Ministry of Higher Education,Buddhasravaka Bhikku University
Ministry of Higher Education,Buddhist and Pali University
Ministry of Higher Education,Sri Lanka Institute of Advanced Technological Education
Ministry of Higher Education,Sri Lanka Institute of Information Technology (SLIIT) and all information Technology Centres affiliated to SLIIT
Ministry of External Affairs,Diplomatic Missions Abroad
Ministry of External Affairs,Indian Ocean MarineAffairs Co-operation
Ministry of External Affairs,Foreign Employment Bureau
Ministry of External Affairs,Sri Lanka Foreign Employment Agency
Ministry of Public Administration & Home Affairs,Department of Pensions
Ministry of Public Administration & Home Affairs,Registrar – General’s Department
Ministry of Public Administration & Home Affairs,All District Secretariats
Ministry of Public Administration & Home Affairs,All Divisional Secretariats
Ministry of Public Administration & Home Affairs,Sri Lanka Institute of Development Administration
Ministry of Parliamentary Affairs,
Ministry of Posts & Telecommunication,Department of Posts
Ministry of Posts & Telecommunication,Sri Lanka Telecom Ltd and its Subsidiaries and its Associates
Ministry of Environment,Department of Forests
Ministry of Environment,Central EnvironmentalAuthority
Ministry of Environment,Geological Survey and Mines Bureau
Ministry of Environment,Polipto Lanka (Pvt) Ltd.
Ministry of Environment,GSMB Technical Services (Pvt) Ltd.
Ministry of Environment,State Timber Corporation
Ministry of Environment,Marine Environment Protection Authority
Ministry of Environment,National Gem and Jewellery Authority
Ministry of Environment,Gem and Jewellery Research Institute
Ministry of Environment,Lanka Timber Plant and Industries
Ministry of Child Development & Women's Affairs,Department of Probation and Childcare Services
