Terminate,All
"Minister of Higher Education, Technology and Innovation", National Intellectual Property Office of Sri Lanka
"Minister of Higher Education, Technology and Innovation", Sri Lanka Inventors’ Commission
"Minister of Higher Education, Technology and Innovation", Inventors’ Fund
"Minister of Higher Education, Technology and Innovation", National Engineering Research and Development Centre
"Minister of Higher Education, Technology and Innovation", National Research Council
"Minister of Higher Education, Technology and Innovation", Co-ordinating Secretariat of Science Technology & Innovation
"Minister of Higher Education, Technology and Innovation", Blue Green Growth Secretariat
"Minister of Higher Education, Technology and Innovation", Timber-related design centre
"Minister of Higher Education, Technology and Innovation", Centre of excellence for Robotic Applications
"Minister of Higher Education, Technology and Innovation", Vidatha Centres
Minister of Public Administration Home Affairs Provincial Councils & Local Government, All District Secretariats and Divisional Secretariats
Minister of Public Administration Home Affairs Provincial Councils & Local Government, Sri Lanka Institute of Development Administration
Minister of Public Administration Home Affairs Provincial Councils & Local Government, Distance Learning Centre Ltd
Minister of Public Administration Home Affairs Provincial Councils & Local Government, Department of Pensions
Minister of Public Administration Home Affairs Provincial Councils & Local Government, Public Service Pensioners’ Trust Fund
Minister of Public Administration Home Affairs Provincial Councils & Local Government, Department of Registrar General
Minister of Public Administration Home Affairs Provincial Councils & Local Government, Department of Official Languages
Minister of Public Administration Home Affairs Provincial Councils & Local Government, Official Languages Commission
Minister of Public Administration Home Affairs Provincial Councils & Local Government, National Institute of Language Education and Training
Minister of Public Administration Home Affairs Provincial Councils & Local Government, National Council of Sri Lanka for the Development of Human Resources
Minister of Public Administration Home Affairs Provincial Councils & Local Government, Sri Lanka Institute of Local Government
Minister of Public Administration Home Affairs Provincial Councils & Local Government, Local Loans and Development Fund
Minister of Public Administration Home Affairs Provincial Councils & Local Government, Miloda Institute (Academy of Financial Studies)
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Department of Irrigation
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Water Resources Board
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development"," Mahaweli Authority of Sri Lanka (major development projects including Moragahakanda and Kalu Ganga, Uma Oya)"
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Central Engineering Consultancy Bureau and its subsidiaries and affiliated companies
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Engineering Council of        Sri Lanka
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Department of Agriculture
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Department of Agrarian Development
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", National Fertilizer Secretariat
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Agriculture and Agrarian Insurance Board
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Pulses and Grain Research and Production Authority
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Hector Kobbekaduwa Agrarian Research and Training Institute
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Sri Lanka Council for Agricultural Research Policy
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Institute of Post-Harvest Technology
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Paddy Marketing Board
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Ceylon Fertilizer Company Ltd
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Colombo Commercial Fertilizer Company
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Janatha Fertilizer Enterprises Ltd
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", National Agricultural Diversification and Settlement Authority
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", National Food Promotion Board
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Rural Revival Fund
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Rural Economic Revival Fund
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Janadiriya Fund (Gramodaya Council Fund)
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Department of Animal Production and Health
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", National Livestock Development Board and affiliated companies
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Milco (Pvt
"Minister of Mahaweli, Agriculture, Irrigation and Rural Development", Mahaweli Livestock Enterprise Limited
"Minister of Internal Trade, Food Security and Consumer Welfare", Internal Trade Department
"Minister of Internal Trade, Food Security and Consumer Welfare", Consumer Affairs Authority
"Minister of Internal Trade, Food Security and Consumer Welfare", Lanka Sathosa Ltd
"Minister of Internal Trade, Food Security and Consumer Welfare", Lanka General Trading Company Ltd
"Minister of Internal Trade, Food Security and Consumer Welfare", Co-operative Wholesale Establishment
"Minister of Internal Trade, Food Security and Consumer Welfare"," Department  of Measurement Units, Standards and Services"
"Minister of Internal Trade, Food Security and Consumer Welfare", Department of Co-operative Development (Registrar of Cooperative Societies)
"Minister of Internal Trade, Food Security and Consumer Welfare", Co-operative Employees Commission
"Minister of Internal Trade, Food Security and Consumer Welfare", National Institute of Co-operative Development
"Minister of Internal Trade, Food Security and Consumer Welfare", Food Commissioner’s Department
"Minister of Internal Trade, Food Security and Consumer Welfare", Divisional Economic Centres
Minister of Education, Department of Educational Publications
Minister of Education, National Institute of Education
Minister of Education, Sri Lanka Publication Development Bureau
Minister of Education, National Library and Documentation Services Board
Minister of Education, Directorates of Education
Minister of Education, National Authority on Teachers Education
Minister of Education, Colleges of Education
Minister of Education, Teachers’ Colleges
Minister of Education, Piriven Education Board
Minister of Education, Department of Examination
Minister of Education, State Printing Corporation
Minister of Education, UNESCO National Commission of Sri Lanka
Minister of Education, National Education Commission
 Minister of Sports & Youth Affairs , Department of Sports Development
 Minister of Sports & Youth Affairs , Sugathadasa National Sports Complex Authority
 Minister of Sports & Youth Affairs , Provincial Sports Complexes
 Minister of Sports & Youth Affairs , National Institute of Sports Science
 Minister of Sports & Youth Affairs , National Sports Council
 Minister of Sports & Youth Affairs , Institute of Sports Medicine
 Minister of Sports & Youth Affairs , Sri Lanka Anti-doping Agency
 Minister of Sports & Youth Affairs , National Youth Services Council
 Minister of Sports & Youth Affairs , National Youth Corps
 Minister of Sports & Youth Affairs , National Youth Awards Authority
 Minister of Sports & Youth Affairs , National Youths Services       Co-operative Limited
 Minister of Sports & Youth Affairs , National Centre for Leadership Development
 Minister of Sports & Youth Affairs , Institute of Smart Sri Lanka
 Minister of Roads and Highways, Road Development Authority and its Subsidiaries and Associates
 Minister of Roads and Highways, Road Maintenance Trust Fund
 Minister of Ports & Shipping, Sri Lanka Ports Authority and its Subsidiaries and Associates
 Minister of Ports & Shipping, Ceylon Shipping Corporation Ltd  and its Subsidiaries and Associates
 Minister of Ports & Shipping, Merchant Shipping Secretariat
Minister of Small & Medium Business and Enterprise Development, National Enterprise Development Authority
Minister of Small & Medium Business and Enterprise Development, National Crafts Council
Minister of Small & Medium Business and Enterprise Development, Sri Lanka Handicraft Board (Laksala)
Minister of Small & Medium Business and Enterprise Development, National Design Centre
Minister of Small & Medium Business and Enterprise Development, Small and Medium Enterprise Venture Capital Company
Minister of Small & Medium Business and Enterprise Development, Small and Medium Enterprise Authority
 Minister of Industries and Supply Chain Management, Ceylon Industrial Development Board
 Minister of Industries and Supply Chain Management, Sri Lanka Institute of Textile and Apparels
 Minister of Industries and Supply Chain Management, Department of Textile Industries
 Minister of Industries and Supply Chain Management, Kahatagaha Graphite
 Minister of Industries and Supply Chain Management, Lanka Leyland Ltd
 Minister of Industries and Supply Chain Management, Lanka Ashok Leyland Ltd
 Minister of Industries and Supply Chain Management, Lanka Cement Ltd
 Minister of Industries and Supply Chain Management, Sri Lanka Cement Corporation
 Minister of Industries and Supply Chain Management, Lanka Textile Mills Emporium Ltd
 Minister of Industries and Supply Chain Management, Lanka Salusala Ltd
 Minister of Industries and Supply Chain Management, National Paper Corporation Ltd
 Minister of Industries and Supply Chain Management, Lanka Mineral Sands Company
 Minister of Industries and Supply Chain Management, Paranthan Chemicals Ltd
 Minister of Industries and Supply Chain Management, Bogala Graphite Lanka Limited
 Minister of Industries and Supply Chain Management, Lanka Phosphate        Company Ltd
 Minister of Industries and Supply Chain Management, Ceylon Ceramics Corporation (Brick and Tiles Division)
 Minister of Industries and Supply Chain Management, Kahagolle Engineering Services Company Ltd (KESCO)
 Minister of Industries and Supply Chain Management, BCC (Pvt) Limited
 Minister of Industries and Supply Chain Management, Palmyrah Development Board
 Minister of Industries and Supply Chain Management, Manthai Salt Ltd
 Minister of Industries and Supply Chain Management, Elephant Pass Saltern
 Minister of Industries and Supply Chain Management, National Gem and Jewellery Authority
 Minister of Industries and Supply Chain Management, Gem and Jewellery Research Institute
Minister of Transport Services Management, Department of Sri Lanka Railways
Minister of Transport Services Management, Sri Lanka Central Transport Board
Minister of Transport Services Management, National Transport Medical Institute
Minister of Transport Services Management, Department of Motor Traffic
Minister of Transport Services Management, National Transport Commission
Minister of Transport Services Management, Lakdiva Engineering Ltd
Minister of Transport Services Management, Werahara Engineering Services Ltd (WESCO)
Minister of Transport Services Management, National Council on Road Safety
 Minister of Power & Energy, Ceylon Electricity Board and its subsidiary Companies
 Minister of Power & Energy, Lanka Electricity Company
 Minister of Power & Energy, Lanka Coal Company (Pvt) Ltd
 Minister of Power & Energy, LTL Holdings (Pvt) Ltd
 Minister of Power & Energy, Sri Lanka Sustainable Energy Authority
 Minister of Power & Energy, Sri Lanka Atomic Energy Board
 Minister of Power & Energy, Sri Lanka Atomic Energy Regulatory Council
 Minister of Power & Energy, Ceylon Petroleum Corporation
 Minister of Power & Energy, Ceylon Petroleum Storage Terminal Ltd
 Minister of Power & Energy, Petroleum Resources Development Secretariat
 Minister of Power & Energy, Polipto Lanka (Pvt) Ltd
 Minister of Environment and Wildlife Resources, Department of Forest Conservation
 Minister of Environment and Wildlife Resources, Central Environmental Authority
 Minister of Environment and Wildlife Resources, Geological Survey and Mines Bureau
 Minister of Environment and Wildlife Resources, GSMB Technical Services (Pvt) Ltd
 Minister of Environment and Wildlife Resources, State Timber Corporation
 Minister of Environment and Wildlife Resources, Lanka Timber Plant and Industries
 Minister of Environment and Wildlife Resources, Marine Environment Protection Authority
 Minister of Environment and Wildlife Resources, Department of Coast Conservation and Coastal Resource Management
 Minister of Environment and Wildlife Resources, Department of National Zoological Gardens
 Minister of Environment and Wildlife Resources, Department of National Botanical Gardens
 Minister of Environment and Wildlife Resources, Department of Wildlife Conservation
 Minister of Environment and Wildlife Resources, Wildlife Trust
 Minister of Lands & Land Development, Department of Land Commissioner General
 Minister of Lands & Land Development, Land Reform Commission
 Minister of Lands & Land Development, Department of Land Settlement
 Minister of Lands & Land Development, Department of Surveyor General
 Minister of Lands & Land Development, Institute of Surveying and Mapping
 Minister of Lands & Land Development, Land Survey Council
Minister of Lands & Land Development, Department of Land Use Policy Planning
Minister of Plantation Industries and Export Agriculture, National Institute of Plantation Management
Minister of Plantation Industries and Export Agriculture, Sri Lanka Tea Board
Minister of Plantation Industries and Export Agriculture, Tea Small Holdings Development Authority
Minister of Plantation Industries and Export Agriculture, Tea Shakthi Fund
Minister of Plantation Industries and Export Agriculture, Tea Research Institute
Minister of Plantation Industries and Export Agriculture, Tea and Rubber Estates (Control and Fragmentation) Board
