Terminate,All
Minister of Defence, Office of the Chief of Defence Staff
Minister of Defence, Sri Lanka Army
Minister of Defence, Sri Lanka Navy
Minister of Defence, Sri Lanka Air Force
Minister of Defence, Sri Lanka Police
Minister of Defence, Department of Civil Security
Minister of Defence, State Intelligence Service
Minister of Defence, Ranaviru Seva Authority
Minister of Defence, Sir John Kotelawala Defence University
Minister of Defence, Defence Services Command and Staff College
Minister of Defence, Defence Services School
Minister of Defence, National Cadet Corps
Minister of Defence, National Defence Fund
Minister of Defence, Defence Research and Development Centre
Minister of Defence, Sri Lanka Institute of National Defence Studies
Minister of Defence, Coast Guard Department of Sri Lanka
Minister of Defence, Lanka Logistics Limited
Minister of Defence, Rakna Arakshana Lanka Ltd
Minister of Defence, National Dangerous Drugs Control Board
Minister of Defence, Department of Immigration and Emigration
Minister of Defence, Department of Registration of Persons
Minister of Defence, National Media Centre
Minister of Defence, Secretariat for Non-Governmental Organizations
Minister of Defence, The Telecommunications Regulatory Commission of Sri Lanka
Minister of Defence, Information and Communication Technology Agency of Sri Lanka
Minister of Defence, Sri Lanka Computer Emergency Readiness Team
Minister of Defence, National DisasterManagement Council
Minister of Defence, Disaster Management Centre
Minister of Defence, National Disaster Relief Services Centre
Minister of Defence, Department of Meteorology
Minister of Defence, National Building Research Organization
" Minister of Finance, Economic and Policy Developmen", National Planning Department
" Minister of Finance, Economic and Policy Developmen", General Treasury
" Minister of Finance, Economic and Policy Developmen", Department of Fiscal Policy
" Minister of Finance, Economic and Policy Developmen", Department of National Budget
" Minister of Finance, Economic and Policy Developmen", Department of Management Services
" Minister of Finance, Economic and Policy Developmen", Department of Public Enterprises
" Minister of Finance, Economic and Policy Developmen", Department of External Resources
" Minister of Finance, Economic and Policy Developmen", Department of Public Finance
" Minister of Finance, Economic and Policy Developmen", Department of Treasury Operations 10
" Minister of Finance, Economic and Policy Developmen", Department of Public Accounts
" Minister of Finance, Economic and Policy Developmen", Department of Trade and Investment Policies
" Minister of Finance, Economic and Policy Developmen", Department of Development Finance
" Minister of Finance, Economic and Policy Developmen", Department of Information Technology Management
" Minister of Finance, Economic and Policy Developmen", Office of Comptroller General
" Minister of Finance, Economic and Policy Developmen", Department of Legal Affairs
" Minister of Finance, Economic and Policy Developmen", Department of Project Management and Supervision
" Minister of Finance, Economic and Policy Developmen", Department of Management Auditing
" Minister of Finance, Economic and Policy Developmen", Department of Inland Revenue
" Minister of Finance, Economic and Policy Developmen", Sri Lanka Customs
" Minister of Finance, Economic and Policy Developmen", Department of Imports and Exports
" Minister of Finance, Economic and Policy Developmen", Department of Excise
" Minister of Finance, Economic and Policy Developmen", Department of Census and Statistics
" Minister of Finance, Economic and Policy Developmen", Department of Valuation
" Minister of Finance, Economic and Policy Developmen", Department of Registrar Companies
" Minister of Finance, Economic and Policy Developmen", Welfare Benefits Board
" Minister of Finance, Economic and Policy Developmen", Department of Commerce
" Minister of Finance, Economic and Policy Developmen", Central Bank of Sri Lanka
" Minister of Finance, Economic and Policy Developmen", Security and Exchange Commission of Sri Lanka
" Minister of Finance, Economic and Policy Developmen", Sri Lanka Insurance Board
" Minister of Finance, Economic and Policy Developmen", Credit Information Bureau
" Minister of Finance, Economic and Policy Developmen", National Operations Centre
" Minister of Finance, Economic and Policy Developmen", Public Service Mutual Benefits Association
" Minister of Finance, Economic and Policy Developmen", Lady Lochore Fund
" Minister of Finance, Economic and Policy Developmen", Tax Appeal Commission
" Minister of Finance, Economic and Policy Developmen"," Strike, Riot, Civil Commotion and Terrorism Fund"
" Minister of Finance, Economic and Policy Developmen", Sri Lanka Accounting and Auditing Standard Monitoring Board
" Minister of Finance, Economic and Policy Developmen", Public Utilities Commission of Sri Lanka
" Minister of Finance, Economic and Policy Developmen", Institute of Policy Studies
" Minister of Finance, Economic and Policy Developmen", Sustainable Development Council
" Minister of Finance, Economic and Policy Developmen", Hotel Developers (Lanka) PLC (PQ 143)
" Minister of Finance, Economic and Policy Developmen", National Lotteries Board
" Minister of Finance, Economic and Policy Developmen", Development Lotteries Board
" Minister of Finance, Economic and Policy Developmen", All State Bank and their subsidiaries and related institutions
" Minister of Finance, Economic and Policy Developmen", Sri Lanka Export Credit Insurance Corporation
" Minister of Finance, Economic and Policy Developmen", National Insurance Trust Fund
" Minister of Finance, Economic and Policy Developmen", Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies
" Minister of Finance, Economic and Policy Developmen", Employees’ Trust Fund
" Minister of Finance, Economic and Policy Developmen", State Resources Management Corporation
"Minister of Buddhasasana, Cultural and Religious Affairs", Department of Buddhist Affairs
"Minister of Buddhasasana, Cultural and Religious Affairs", Buddhasasana Fund
"Minister of Buddhasasana, Cultural and Religious Affairs", Buddhist Renaissance Fund
"Minister of Buddhasasana, Cultural and Religious Affairs", International Buddhist Centre
"Minister of Buddhasasana, Cultural and Religious Affairs", Department of Hindu Religious and Cultural Affairs
"Minister of Buddhasasana, Cultural and Religious Affairs", Department of Christian Religious Affairs
"Minister of Buddhasasana, Cultural and Religious Affairs", Department of Muslim Religious and Cultural Affairs
"Minister of Buddhasasana, Cultural and Religious Affairs", Department of Cultural Affairs
"Minister of Buddhasasana, Cultural and Religious Affairs", Department of National Museums
"Minister of Buddhasasana, Cultural and Religious Affairs", Department of Archeology
"Minister of Buddhasasana, Cultural and Religious Affairs", Tower Hall Theatre Foundation
"Minister of Buddhasasana, Cultural and Religious Affairs", Public Performance Board
"Minister of Buddhasasana, Cultural and Religious Affairs", National Arts Council
"Minister of Buddhasasana, Cultural and Religious Affairs", Gramodaya Folk Arts Centre
"Minister of Buddhasasana, Cultural and Religious Affairs", “Ape Gama”
"Minister of Buddhasasana, Cultural and Religious Affairs", Department of National Archives
"Minister of Buddhasasana, Cultural and Religious Affairs", Central Cultural Fund
"Minister of Buddhasasana, Cultural and Religious Affairs", National Film Corporation
"Minister of Buddhasasana, Cultural and Religious Affairs", Galle Heritage Foundation
"Minister of Buddhasasana, Cultural and Religious Affairs", Sri Lanka Foundation
"Minister of Buddhasasana, Cultural and Religious Affairs", S W R D  Bandaranaike National Memorial Foundation
"Minister of Buddhasasana, Cultural and Religious Affairs", National Performing Arts Theatre (Nelum Pokuna)
"Minister of Buddhasasana, Cultural and Religious Affairs", J R Jayawardene Centre
" Minister of Urban Development, Water Supply and Housing Facilities", Urban Development   Authority
" Minister of Urban Development, Water Supply and Housing Facilities", Sri Lanka Land Reclamation and Development Corporation
" Minister of Urban Development, Water Supply and Housing Facilities", National Physical Planning Department
" Minister of Urban Development, Water Supply and Housing Facilities", National Water Supply and Drainage Board
" Minister of Urban Development, Water Supply and Housing Facilities", Department of National Community Water Supply
" Minister of Urban Development, Water Supply and Housing Facilities", Urban Settlement Development Authority
" Minister of Urban Development, Water Supply and Housing Facilities", National Housing Development Authority
" Minister of Urban Development, Water Supply and Housing Facilities", Condominium Management Authority (Common Amenities Board)
" Minister of Urban Development, Water Supply and Housing Facilities", Housing Planning and Building Centre and its subsidiaries and affiliated companies
" Minister of Urban Development, Water Supply and Housing Facilities", Building Material Corporation Limited
" Minister of Urban Development, Water Supply and Housing Facilities", Department of Buildings
" Minister of Urban Development, Water Supply and Housing Facilities", Department of Government Factories
" Minister of Urban Development, Water Supply and Housing Facilities", Construction Industry Development Authority
" Minister of Urban Development, Water Supply and Housing Facilities", State Engineering Corporation
" Minister of Urban Development, Water Supply and Housing Facilities", State Development and Construction Corporation
" Minister of Urban Development, Water Supply and Housing Facilities", National Equipment and Machinery Organization
" Minister of Urban Development, Water Supply and Housing Facilities", Ocean View Development (Pvt) Ltd
"Minister of Justice, Human Rights & Law Reforms", Attorney General’s Department
"Minister of Justice, Human Rights & Law Reforms", Legal Draftsman’s Department
"Minister of Justice, Human Rights & Law Reforms", Department of Debt Conciliation Board
"Minister of Justice, Human Rights & Law Reforms", Department of Government Analyst
"Minister of Justice, Human Rights & Law Reforms", Office of the Registrar of the Supreme Court
"Minister of Justice, Human Rights & Law Reforms", Law Commission of Sri Lanka
"Minister of Justice, Human Rights & Law Reforms", Superior Courts Complex Board of Management
"Minister of Justice, Human Rights & Law Reforms", Legal Aid Commission of Lanka
"Minister of Justice, Human Rights & Law Reforms", Mediation Boards Commission
"Minister of Justice, Human Rights & Law Reforms", Council of Legal Education
"Minister of Justice, Human Rights & Law Reforms", Department of Public Trustee
"Minister of Justice, Human Rights & Law Reforms", Commercial Mediation Centre of Sri Lanka
"Minister of Justice, Human Rights & Law Reforms", International ArbitrationCentre of Sri Lanka
"Minister of Justice, Human Rights & Law Reforms", Department of Prisons
"Minister of Justice, Human Rights & Law Reforms", Community Based Correction Department
"Minister of Justice, Human Rights & Law Reforms", Training Schools for Youthful Offender
"Minister of Justice, Human Rights & Law Reforms", Rehabilitation Commissioner General’s Office
"Minister of Justice, Human Rights & Law Reforms", Office for National  Unity and Reconciliation
"Minister of Justice, Human Rights & Law Reforms", Office of Missing Persons
"Minister of Justice, Human Rights & Law Reforms", Office for Reparations
 Minister of Community Empowerment and Estate Infrastructure Development, New Villages Development Authority for Plantation Region
 Minister of Community Empowerment and Estate Infrastructure Development, Estate Sector Self-Employment Revolving Fund
 Minister of Community Empowerment and Estate Infrastructure Development, Plantation Human Development Trust
 Minister of Community Empowerment and Estate Infrastructure Development, Saumyamoorthi Thondaman Memorial Foundation
 Minister of Community Empowerment and Estate Infrastructure Development, Resettlement Authority
 Minister of Community Empowerment and Estate Infrastructure Development, Gramashakthi Bureau
 Minister of Foreign Relations, Diplomatic Missions in abroad
 Minister of Foreign Relations, Lakshman Kadirgamar Institute for International Relations and Strategic Studies
 Minister of Foreign Relations, National Oceanic Affairs Committee Secretariat
" Minister of Skills Development, Employment and Labour Relations", Tertiary and Vocational Education Commission
" Minister of Skills Development, Employment and Labour Relations", Vocational Training Authority of Sri Lanka
" Minister of Skills Development, Employment and Labour Relations", National Apprenticeship and Industrial Training Authority
" Minister of Skills Development, Employment and Labour Relations", Skills Development Fund Ltd
" Minister of Skills Development, Employment and Labour Relations", Ceylon German Technical Training Institute
" Minister of Skills Development, Employment and Labour Relations", Sri Lanka Institute of Printing
" Minister of Skills Development, Employment and Labour Relations", National Institute of Technical Education
" Minister of Skills Development, Employment and Labour Relations", Department of Technical Education and Training
" Minister of Skills Development, Employment and Labour Relations", Department of Labour
" Minister of Skills Development, Employment and Labour Relations", National Institute of Labour Studies
" Minister of Skills Development, Employment and Labour Relations", Employees’ Provident Fund
" Minister of Skills Development, Employment and Labour Relations", National Institute for Occupational Safety and Health
" Minister of Skills Development, Employment and Labour Relations", Office of the Commissioner of Workmen’s Compensation
" Minister of Skills Development, Employment and Labour Relations", Shrama Vasana Fund
" Minister of Skills Development, Employment and Labour Relations", Department of Manpower and Employment
" Minister of Skills Development, Employment and Labour Relations", Sri Lanka Job Net Ltd
" Minister of Skills Development, Employment and Labour Relations", Sri Lanka Foreign Employment Bureau
" Minister of Skills Development, Employment and Labour Relations", Sri Lanka Foreign Employment Agency
" Minister of Skills Development, Employment and Labour Relations", National Productivity Secretariat
 Minister of Fisheries & Aquatic Resources, Department of Fisheries and Aquatic Resources
 Minister of Fisheries & Aquatic Resources, National Aquaculture Development Authority
 Minister of Fisheries & Aquatic Resources, Ceylon Fisheries Harbour Corporation
 Minister of Fisheries & Aquatic Resources, Cey-Nor Foundation Ltd
 Minister of Fisheries & Aquatic Resources, Sri Lanka Fisheries Corporation
 Minister of Fisheries & Aquatic Resources, National Aquatic Resources Research and Development Agency
 Minister of Fisheries & Aquatic Resources, North Sea Ltd
 Minister of Women & Child Affairs and Social Security, Sri Lanka Women’s Bureau
 Minister of Women & Child Affairs and Social Security, National Committee on Women
 Minister of Women & Child Affairs and Social Security, Department of Probation and Childcare Services
 Minister of Women & Child Affairs and Social Security, National Child Protection Authority
 Minister of Women & Child Affairs and Social Security, Children’s Secretariat
 Minister of Women & Child Affairs and Social Security, National Social Development Institute
 Minister of Women & Child Affairs and Social Security, Department of Samurdhi Development
 Minister of Women & Child Affairs and Social Security, Rural Development Training and Research Institute
 Minister of Women & Child Affairs and Social Security, Department of Social Services
 Minister of Women & Child Affairs and Social Security, National Council for Elders and National Secretariat for Elders
 Minister of Women & Child Affairs and Social Security, National Secretariat for Persons with Disabilities
 Minister of Women & Child Affairs and Social Security, National Council for Persons with Disabilities
 Minister of Women & Child Affairs and Social Security, Protection of Children-National Trust Fund
 Minister of Women & Child Affairs and Social Security, Social Security Board
 Minister of Healthcare and Indigenous Medical Services, Department of Health     Services
 Minister of Healthcare and Indigenous Medical Services, Sri Jayewardenepura General Hospital
 Minister of Healthcare and Indigenous Medical Services, Vijaya Kumaranatunga Memorial Hospital
 Minister of Healthcare and Indigenous Medical Services, State Pharmaceutical Corporation
 Minister of Healthcare and Indigenous Medical Services, State Pharmaceutical Manufacturing Corporation
 Minister of Healthcare and Indigenous Medical Services, National Drugs Regulatory Authority
 Minister of Healthcare and Indigenous Medical Services," All National, Teaching and Specified Government Hospitals"
 Minister of Healthcare and Indigenous Medical Services, National Health Council
 Minister of Healthcare and Indigenous Medical Services, Medical Research Institute
 Minister of Healthcare and Indigenous Medical Services, National Institute of Health Science
 Minister of Healthcare and Indigenous Medical Services, Ashraff Memorial Hospital
 Minister of Healthcare and Indigenous Medical Services, School of Medical Laboratory Technology
 Minister of Healthcare and Indigenous Medical Services, Sri Lanka Medical Council
 Minister of Healthcare and Indigenous Medical Services, Sri Lanka Medical College Council
 Minister of Healthcare and Indigenous Medical Services, National Health Development Fund
 Minister of Healthcare and Indigenous Medical Services, Private Medical Institute Council
 Minister of Healthcare and Indigenous Medical Services," National Institute of Nephrology, Dialysis and Transplantation"
 Minister of Healthcare and Indigenous Medical Services, Sri Lanka Thriposha Ltd
 Minister of Healthcare and Indigenous Medical Services, National Authority on Tobacco and Alcohol
 Minister of Healthcare and Indigenous Medical Services, Department of Ayurveda
 Minister of Healthcare and Indigenous Medical Services, Sri Lanka Ayurvedic Drugs Corporation
 Minister of Healthcare and Indigenous Medical Services, Ayurvedic Medical Council
 Minister of Healthcare and Indigenous Medical Services, Ayurvedic College and Hospital Board
 Minister of Healthcare and Indigenous Medical Services, Ayurveda Teaching and Research Hospitals
 Minister of Healthcare and Indigenous Medical Services," Homeopathy Hospital, Welisara"
 Minister of Healthcare and Indigenous Medical Services, Homeopathy Medical Council
 Minister of Healthcare and Indigenous Medical Services, 1990 Suwaseriya Foundation
 Minister of Healthcare and Indigenous Medical Services, Kidney Fund
Minister of Information and Communication Technology, Sri Lanka Telecom and its subsidiaries and affiliated companies
Minister of Information and Communication Technology, Department of Telecommunication
Minister of Information and Communication Technology, All Information Technology Parks
Minister of Information and Communication Technology, Department of Information
Minister of Information and Communication Technology, Sri Lanka Press Council
Minister of Information and Communication Technology, Sri Lanka Broadcasting Corporation
Minister of Information and Communication Technology, Independent Television Network
Minister of Information and Communication Technology, Sri Lanka Rupavahini Corporation
Minister of Information and Communication Technology, Associated Newspapers of Ceylon Ltd
Minister of Information and Communication Technology, Lanka Puwath Ltd
Minister of Information and Communication Technology, Selacine Rupavahini Institute
Minister of Information and Communication Technology, Mahinda Rajapaksa National Tele Cinema Park
Minister of Information and Communication Technology, Right to Information Commission
Minister of Information and Communication Technology, Postal Department
Minister of Information and Communication Technology, Department of Government Printing
Minister of Information and Communication Technology, Sri Lanka Media Training Institute
"Minister of Higher Education, Technology and Innovation", University Grants Commission
"Minister of Higher Education, Technology and Innovation"," All State Universities, Postgraduate Institutions and other Institutions under the purview of University Grants Commission"
"Minister of Higher Education, Technology and Innovation", Buddhasravaka Bhiksu University
"Minister of Higher Education, Technology and Innovation", Buddhist and Pali University
"Minister of Higher Education, Technology and Innovation", Sri Lanka Institute of Advanced Technological Education
"Minister of Higher Education, Technology and Innovation", Mahapola Higher Education Scholarship Trust Fund
"Minister of Higher Education, Technology and Innovation", National Institute of Business Management and affiliated institutions
"Minister of Higher Education, Technology and Innovation", University of Vocational Technology
"Minister of Higher Education, Technology and Innovation", National Institute of Fisheries and Nautical Engineering (Ocean University)
"Minister of Higher Education, Technology and Innovation", Industrial Technology Institute
"Minister of Higher Education, Technology and Innovation", Sri Lanka Institute of Nano Technology (Pvt) Ltd
"Minister of Higher Education, Technology and Innovation", National Institute of Fundamental Studies
"Minister of Higher Education, Technology and Innovation", National Science Foundation
"Minister of Higher Education, Technology and Innovation", National Science  and Technology Commission
"Minister of Higher Education, Technology and Innovation", Planetarium
"Minister of Higher Education, Technology and Innovation", Arthur C  Clarke Centre for Modern Technology
"Minister of Higher Education, Technology and Innovation", Sri Lanka Accreditation Board for Conformity Assessment
"Minister of Higher Education, Technology and Innovation", Sri Lanka Standard Institute
