Terminate,Minister of Water Supply
minister of Water Supply and Estate Infrastructure Development,National Water Supply and Drainage Board
minister of Water Supply and Estate Infrastructure Development,Water Resources Board
minister of Water Supply and Estate Infrastructure Development,Department of National Community Water Supply
minister of Water Supply and Estate Infrastructure Development,New Villages Development Authority for Plantation region
minister of Water Supply and Estate Infrastructure Development,Plantation Human Development Trust
minister of Water Supply and Estate Infrastructure Development,Saumyamoorthi Thondaman Memorial Foundation
minister of Water Supply and Estate Infrastructure Development,Estate Sector Self-Employment Revolving Fund
Terminate,Minister of Urban Development and Housing
Minister of Urban Development and Housing,Urban Development   Authority
Minister of Urban Development and Housing,Urban Settlement Development Authority
Minister of Urban Development and Housing,Selendiva investments Limited
Minister of Urban Development and Housing,Hotel Developers (Lanka) PLC (PQ 143)
Minister of Urban Development and Housing,National Physical Planning Department
Minister of Urban Development and Housing,Condominium Management Authority (Common Amenities Board)
Minister of Urban Development and Housing,Sri Lanka Land Development Corporation and its subsidiaries and related institutions
Minister of Urban Development and Housing,National Housing Development Authority
Minister of Urban Development and Housing,Building Material Corporation Limited
Minister of Urban Development and Housing,Department of Buildings
Minister of Urban Development and Housing,Department of Government Factories
Minister of Urban Development and Housing,Construction Industry Development Authority
Minister of Urban Development and Housing,State Engineering Corporation
Minister of Urban Development and Housing,National Equipment and Machinery Organization
Minister of Urban Development and Housing,Ocean View Development (Pvt) Ltd
Minister of Urban Development and Housing,Marine Environment Protection Authority
Minister of Urban Development and Housing,Department of Coast Conservation and Coastal Resource Management
